R-ice Cream (Deluxe);;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;g;;80.0;2.7;15.3;1.7;2.2;0.3;;;
Nutritional values per ½ Deluxe Tub;360;g;;288.2;9.8;55.1;6.0;7.8;1.0;;;
Nutritional values total;720;g;;576.3;19.7;110.2;11.9;15.7;2.0;;;
;;;;;;;;;;;;
FPDF / PAC (target 20..30);31.08;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";10.86%;;;;LOW-FAT;;Low-Sugar;;;;;
Milk Solids Non-Fat (MSNF, 7-11%);23.1;g;;3.2%;;;;;;;;
;;;;;;;;;;;;
Milk rice gelato, inspired by [Gelato di Riso](https://youtu.be/9naNqC0I6g0) from *Polar Ice Cream*.;;;;;;;;;;;;
;;;;;;;;;;;;
" 1. Wash the rice in a sieve, and cook it on medium heat until very soft (~30min), together with the other ‘prep’ ingredients.
 1. Add ""wet"" ingredients and the cooked rice to empty Creami tub.";;;;;;;;;;;;
;;;;;;;;;;;;
"Process on Sorbet.

Rating: 😋 (untested)";;;;;;;;;;;;
;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Almond milk (unsweetened) [REWE Bio];300.00;ml;0;19.00;1.70;0.00;0.00;0.80;0.15;;;with guar gum (<1.5g)
Paella Rice (Bomba) [Santo Tomas];50.00;g;0;344.00;0.68;76.90;0.21;7.00;0.01;;;"Wash the rice; can use any short grain rice"
Erythritol (E968);30.00;g;0;24.00;0.00;100.00;0.00;0.00;0.00;2.80;;POD = 75%
Xylitol;20.00;g;0;238.00;;100.00;;;;2.20;;"POD = 100%; GI = 7"
Vanilla Bean Powder [InterVanilla];4.00;g;0;288.00;0.10;13.00;13.00;0.00;0.00;;;
Cinnamon (Ceylon);3.00;g;0;;;;;;;;;1tsp = 3g
Salt;1.00;g;0;;;;;;100.00;5.90;;
Skim Milk 1.5% [Weihenstephan];200.00;ml;1;47.00;1.50;4.90;4.90;3.50;0.11;0.05;9.16;
Cream Cheese 23% [Exquisa];50.00;g;1;238.00;22.50;3.00;3.00;5.50;0.70;0.03;9.64;
Glycerin (E422, VG) [hd-line];10.00;g;1;400.00;;99.00;;;;3.70;;"POD = 60%; GI = 5; Density = 1.26 g/ml"
Brandy “Williams Birne” 40 vol%;10.00;g;1;280.00;;;;;;2.96;;
Flavor drops Cookies&Cream [Nick’s];5.00;drops;1;;;;;;;;;with stevia
Cream 32% [REWE Beste Wahl];;ml;3;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;
;;;;;;;;;;;;
Water to MAX line;42.00;ml;3;;;;;;;;;
;;;;;;;;;;;;
Jun 1, 2025;"Rice reduced to 2/3; no extra thickeners";;;;;;;;;;;
