Banoffee (Deluxe);;;;;;;;;;;;;
;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;
Nutritional values per 100g/ml;100;g;;95.9;2.0;14.9;6.1;5.6;0.2;;;;
Nutritional values per ½ Deluxe Tub;360;g;;345.4;7.3;53.5;21.9;20.2;0.5;;;;
Nutritional values total;720;g;;690.8;14.7;107.0;43.7;40.3;1.1;;;;
;;;;;;;;;;;;;
FPDF / PAC (target 20..30);28.09;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";23.36%;;;;LOW-FAT;;;Hi-Protein;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);29.5;g;;4.1%;;;;;;;;;
ℹ️ Net carbs;65.4;g;;*∝ 5 servings@144g:* 13.1g;;;*∝ 3 servings@240g:* 21.8g;;;;;;
> 🌿 **Vegan & Dairy-free**<br />Recipe is using only soy milk and protein.;;;;;;;;;;;;;
;;;;;;;;;;;;;
"*Banoffee* is a dessert that combines banana and toffee flavors. The name is a portmanteau of “banana” and “toffee.”

Top it with butter cookies or graham crackers, dulce de leche or caramel, sliced bananas, and whipped cream.
You might also add chocolate shavings or toffee bits.

Process on *Sorbet*, [hold it shortly under running water](https://jhermann.github.io/ice-creamery/info/tips%2Btricks/#handling-of-icy-sides-bottom)
*after* that.
Then a scrape-down and a respin or re-mix.

> *Spun on sorbet, then a respin, resulting in a soft and smooth consistency. Refreeze for optimal scoopability.*

Rating: 😋😋😋🍌🍌";;;;;;;;;;;;;
;;;;;;;;;;;;;
"1. Cut the dates into halves by their long side, and make sure they’re pitted and not spoiled. Use a splash of soy milk, if needed to combine things.
 1. In an empty Creami tub, blend the dates and the other ‘prep’ ingredients to a smooth paste.
 1. Add ""wet"" ingredients to the puree.";;;;;;;;;;;;;
;" 

";;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%]
Banana (peeled);100.00;g;0;108.00;0.60;21.50;16.00;1.22;0.03;0.16;;1 mid-sized ripe banana, eat any surplus 😋;
Tofu (plain) [REWE Bio];100.00;g;0;129.00;7.50;1.80;0.50;13.00;0.20;;15.54;use 150g of silken tofu if you have it;
Medjool dates (pitted, organic) [Seba Garden];40.00;g;0;277.00;0.20;75.00;66.00;1.80;0.01;0.66;;2 dates • distinctive caramel taste with hints of vanilla;
Glycerin (E422, VG) [hd-line];15.00;g;0;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00
Brandy or Vodka 40 vol%;10.00;g;0;280.00;;;;;;2.96;;;
Lemon juice;5.00;ml;0;25.00;0.10;3.36;1.65;0.30;0.01;0.02;;;
Soy milk 1.6% (sugar-free) [Berief];250.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;;;
;;;;;;;;;;;;;
Soy protein isolate (nature) [Powerstar];15.00;g;2;372.00;1.00;1.00;0.00;89.80;2.50;;93.00;1kg bag, unsweetened, unflavored;
Xylitol (E967);25.00;g;2;238.00;0.00;100.00;0.00;0.00;0.00;2.20;;"Sweetness = 100%; GI = 7";100.00
ICSv2 [Erythritol / Inulin / CMC / Guar / XG / Salt];10.00;g;2;107.2;0.0;95.5;3.7;0.1;1.7;1.32;;http://bit.ly/4frc4Vj;90.80
Vanilla Bean Powder [InterVanilla];3.00;g;2;288.00;0.10;13.00;13.00;0.00;0.00;;;;
;;;;;;;;;;;;;
Soy milk 1.6% (sugar-free) [Berief];147.00;ml;3;30.00;1.60;0.90;0.00;3.00;0.08;;;make blending easier by splitting the milk;
Flavor drops Caramel (sucralose) [IronMaxx];3–7;drops;3;;;;;;;;;to taste;
