Beso de Ángel (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;106.3;4.3;16.3;2.9;4.3;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;361.5;14.6;55.3;9.9;14.6;0.5;;;;;
Nutritional values total;602;g;;640.0;25.9;97.8;17.5;25.8;0.9;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.46;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";16.10%;;;;;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);43.0;g;;7.1%;;;;;;;;;;
ℹ️ Net carbs;49.3;g;;*∝ 5 servings@120g:* 9.9g;;;*∝ 3 servings@201g:* 16.4g;;;*energy ratio (low <20%):* 30.8%;;;;
;;;;;;;;;;;;;;
"*Beso de Ángel* (angel’s kiss)  is a traditional Mexican ice cream flavor, made with a cherry ice cream base and various mix-ins like nuts (almonds, walnuts, pecans), raisins, marshmallows, and sometimes other fruits or even chocolate.

The common theme is a sweet fruit base with a combination of sweet, chewy, and crunchy textures.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"The base is just 600g on purpose, to leave room for plenty of mix-ins. The mix-ins as listed below add 230kcal and 20.1g sugar.
";;;;;;;;;;;;;;
Process on *Light Ice Cream*, do a scrape-down, then the mix-in run with your chosen add-ins.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Put the cherries into an empty Creami tub, and let them defrost a bit when frozen.
 1. Heat the ‘wet’ ingredients to about 60°C, and whisk in the dry ones that you mixed together beforehand.
 1. Pour into the Creami tub and blend together with the fruit to a smooth consistency.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Soy milk 1.6% (sugar-free) [Berief];330.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;use any other preferred milk (~2% fat);;1
Coconut Milk Powder 54% [Green Essence];35.00;g;2;640.00;55.00;40.25;1.25;6.25;0.13;;46.50;*alternative:* 90ml coconut milk 22%, 55ml less soy milk;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Brandy or Vodka 40 vol%;10.00;g;1;280.00;;;;;;2.96;;*alternative:* 8g (additional) VG for a sober recipe;;1
