Blueberry Buttermilk (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;75.7;1.4;13.8;4.6;4.9;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;257.5;4.9;46.9;15.6;16.6;0.7;;;;;
Nutritional values total;680;g;;515.0;9.8;93.8;31.3;33.1;1.5;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);31.55;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";25.74%;;;;LOW-FAT;;Low-Sugar;Hi-Protein;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);57.5;g;;8.5%;;;;;;;;;;
ℹ️ Net carbs;40.2;g;;*∝ 5 servings@136g:* 8g;;;*∝ 3 servings@227g:* 13.4g;;;*energy ratio (low <20%):* 31.2%;;;;
"The buttermilk gives this a tangy and fresh profile, refreeze after processing for best texture and consistency.

You can replace the blueberries by other fruit, adapt the ""Fill to MAX"" liquid amount accordingly,
and use less buttermilk if you'd overfill otherwise.

> 💡 **Alcohol Replacement**<br />
> If you don't want alcohol in your ice cream, or prepare it for kids, replace the small amount of alcohol with vegetable glycerin. For 10g booze (40 vol%) use 8g VG instead.

Process on *Frozen Yogurt*, [hold it shortly under running water](https://jhermann.github.io/ice-creamery/info/tips%2Btricks/#handling-of-icy-sides-bottom)
*after* that.Then a scrape-down and a respin.

> Rating: 😋😋😋😋😋

The variant made with strawberries, processed the same but with only a final Mix-In, since it was a bit softer.

> Rating: 😋😋😋😋😋";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
> 2025-07-11: Made with soy protein isolate. Spun on Sorbet, followed by a scrape-down and respin. Soft-serve consistency.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Buttermilk 1% [REWE];400.00;ml;1;35.00;0.50;4.00;4.00;3.50;0.15;0.04;8.50;;;1
Blueberries (frozen);125.00;g;1;48.00;0.40;9.10;8.90;0.40;0.00;0.09;;;;1
Cream Cheese 23% [Exquisa];25.00;g;1;238.00;22.50;3.00;3.00;5.50;0.70;0.03;9.64;;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Brandy or Vodka 40 vol%;10.00;g;1;280.00;;;;;;2.96;;;;1
Soy milk 1.6% (sugar-free) [Berief];;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
SweEX (Erythritol + Xylitol 3:2);35.00;g;2;109.60;;100.00;;;;2.56;;"POD ≈ 90%; GI < 7";100.00;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];15.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;unsweetened “ICSv2”;73.80;1
