Butter Pecan (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;133.3;8.7;12.6;2.8;4.3;0.3;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;453.3;29.5;42.9;9.4;14.5;1.0;;;;;
Nutritional values total;680;g;;906.5;58.9;85.7;18.8;29.1;2.1;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.29;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";12.82%;;;;;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);45.4;g;;6.7%;;;;;;;;;;
ℹ️ Net carbs;29.7;g;;*∝ 5 servings@136g:* 5.9g;;;*∝ 3 servings@227g:* 9.9g;;;*energy ratio (low <20%):* 13.1%;;;;
;;;;;;;;;;;;;;
"A vanilla base with roasted pecan chunks infused with brown butter. What’s not to like (except the macros)? 😺

Spin on “Sorbet”, scrape down, and re-mix.

Rating: 😋🧈 (untested)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Break the pecans in half into a small empty sauce pan, and roast them on medium heat until fragrant, around 5 minutes. Stir occasionally.
 1. Set the roasted nuts aside in a glass or ceramic bowl.
 1. Brown the butter with the salt in the same pan, until golden, take off the heat, add the pecans.
 1. Set butter and pecans aside in the fridge, for the next day. Before that, take out 1 tsp (5g) of the browned butter back into the pan.
 1. Pour the ‘wet’ ingredients into the pan, heat them up to a moderate heast (50°C).
 1. Weigh dry ingredients, and mix them with a spoon.
 1. Whisk them in and dissolve everything. Let the liquid cool down a bit, then add to an empty Creami tub.";;;;;;;;;;;;;;
1. Before freezing, cool down the base in the fridge and let the flavors meld.;;;;;;;;;;;;;;
"1. As the mix-in, use the pecans and butter after heating them up a bit in the microwave to make the butter liquid again.
 1. Add it to your base and quickly engage the MIX-IN mode, so the butter does not freeze into one solid blob.";;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Pecan nuts (organic) [Biojoy];45.00;g;0;721.00;72.00;4.30;4.00;9.20;0.00;0.04;;;;1
Butter (unsalted);15.00;g;0;731.00;82.00;0.80;0.80;0.60;0.03;;;;;1
Salt;0.75;g;0;;;;;;100.00;5.90;;19 quick shakes (with my shaker);;1
Soy milk 1.6% (sugar-free) [Berief];400.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Cream Cheese 23% [Exquisa];25.00;g;1;238.00;22.50;3.00;3.00;5.50;0.70;0.03;9.64;;;1
Glycerin (E422, VG) [hd-line];10.00;g;1;400.00;;99.00;;;;3.70;;"POD = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Jamaica Rum 43 vol%;10.00;g;1;300.00;;;;;;3.18;;;;1
Molasses [Grafschafter Goldsaft];3.00;g;1;306.00;0.50;70.00;66.00;2.30;0.03;0.66;;Sweetness = 66%;;1
SweEX (Erythritol + Xylitol 3:2);40.00;g;2;109.60;;100.00;;;;2.56;;"POD ≈ 90%; GI < 7";100.00;1
Skim milk powder 1:10 (SMP) [Vita2You];25.00;g;2;358.00;0.97;50.50;50.50;35.00;1.00;0.51;94.03;;;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];15.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;unsweetened “ICSv2”;73.80;1
Vanilla Bean Powder [InterVanilla];5.00;g;2;288.00;0.10;13.00;13.00;0.00;0.00;;;;;1
;;;;;;;;;;;;;;
Soy milk 1.6% (sugar-free) [Berief];86.25;ml;3;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Flavor drops Vanilla (sucralose) [IronMaxx];≈1;drops;3;;;;;;;;;to taste;;
