Caramel Candy (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;91.6;1.8;22.3;4.3;4.1;0.3;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;311.3;6.3;75.7;14.5;14.0;1.0;;;;;
Nutritional values total;680;g;;622.5;12.5;151.4;29.1;28.0;2.1;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.20;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";17.97%;;;;LOW-FAT;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);33.6;g;;4.9%;;;;;;;;;;
ℹ️ Net carbs;91.1;g;;*∝ 5 servings@136g:* 18.2g;;;*∝ 3 servings@227g:* 30.4g;;;*energy ratio (low <20%):* 58.5%;;;;
;;;;;;;;;;;;;;
Milk base infused with caramel cream candy and medjool dates.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Process on *Light Ice Cream*, with scrape-down, and a mix-in or respin run if needed.<br clear=all />

Rating: 😋🥛🍬😋 (untested)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Cut the dates into halves by their long side, and make sure they’re pitted and not spoiled.
 1. In the creami tub, blend all the ‘wet’ ingredients to a smooth liquid.
 1. In a saucepan, crush the candy, dissolve in the milk over medium heat.
 1. Mix the dry ingredients together and whisk them into the hot milk.
 1. Let the milk cool down a bit and blend together with the dates milk.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Soy milk 1.6% (sugar-free) [Berief];350.00;ml;0;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;*alternative:* any other preferred milk (~2% fat);;1
Caramel Candy (sugar-free) [Werther’s];42.00;g;0;290.00;8.80;87.00;0.50;0.20;1.20;0.31;;"5pcs ≈ 16g; 84% isomalt, 15% butter+cream";;1
Soy milk 1.6% (sugar-free) [Berief];150.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;*alternative:* any other preferred milk (~2% fat);;1
Medjool dates (organic) [Seba Garden];40.00;g;1;277.00;0.20;75.00;66.00;1.80;0.01;0.66;;"1 date = 20g; distinctive caramel taste with hints of vanilla";;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;*alternative:* 12g (additional) VG for a sober recipe;50.00;1
Vanilla Extract (w/ alcohol) [Native Vanilla];;ml;1;300.00;;;;;;2.22;;;;1
SweEX (Erythritol + Xylitol 3:2);35.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 47g allulose or dextrose;100.00;1
Banana Powder (green plantain) [Govinda];;g;2;365.00;1.50;78.00;10.00;2.00;0.01;;;"About 7% fiber (resistant starch); must be cooked";;1
Inulin [Vit4ever];20.00;g;2;210.00;;97.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0";89.00;1
Whey + Casein protein (grass-fed) [Vilgain];15.00;g;2;384.00;4.60;5.70;5.60;80.00;0.50;0.06;90.40;with stevia;;1
Waxy Maize Starch (E1442) [Ultratex];10.00;g;2;391.00;0.15;97.00;0.00;0.50;0.50;;;*alternative:* [E1422](https://jhermann.github.io/ice-creamery/info/ingredients/#acetylated-distarch-adipate-e1422);;1
Anatto Seed Powder [Naturix24];2.00;g;2;144.00;2.00;28.00;;6.00;;;;*optional*, for color;;1
Salt;1.00;g;2;;;;;;100.00;5.90;;;;1
Glycerol Monostearate (E471) [Bulk];;g;2;415.00;;;;;;;;;;1
Vanilla Bean Powder [InterVanilla];;g;2;288.00;0.10;13.00;13.00;0.00;0.00;;;;;1
;;;;;;;;;;;;;;
Flavor drops Caramel (sucralose) [IronMaxx];≈5;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
