ChiaChoco (Deluxe);;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;g;;115.8;4.7;11.9;3.6;5.3;0.2;;;
Nutritional values per ½ Deluxe Tub;360;g;;417.1;16.8;42.7;12.9;19.0;0.5;;;
Nutritional values total;720;g;;834.1;33.6;85.5;25.8;38.0;1.1;;;
;;;;;;;;;;;;
FPDF / PAC (target 20..30);25.36;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";18.22%;;;;;;Low-Sugar;;;;;
Milk Solids Non-Fat (MSNF, 7-11%);44.1;g;;6.1%;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
After mixing, let the base sit in the fridge for at least 30,in (better 2h), for the chia to properly soak. Stir before freezing.;;;;;;;;;;;;
;;;;;;;;;;;;
The seeds practically disappear, only some are left intact (i.e. noticable) on the walls and bottom.;;;;;;;;;;;;
;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Water (boiling);150.00;ml;0;0.00;0.00;0.00;0.00;0.00;0.00;;;
Cocoa Powder 21% [cebe];30.00;g;0;358.00;20.70;8.80;0.50;19.80;0.08;;;
Skim Milk 1.5% [Weihenstephan];225.00;ml;1;47.00;1.50;4.90;4.90;3.50;0.11;0.05;9.16;
Glycerin (E422, VG) [hd-line];20.00;g;1;400.00;0.00;99.00;0.00;0.00;0.00;3.70;;"Sweetness = 60%; GI = 5"
Flavor drops Caramel [IronMaxx];7.00;drops;1;;;;;;;;;
Soy sauce;3.00;ml;1;75.00;0.00;7.40;6.70;7.20;17.10;0.07;;
Chia seeds [Mr. Brown];60.00;g;2;444.00;31.10;4.50;0.80;21.20;0.03;;;
Xylitol;35.00;g;2;238.00;0.00;100.00;0.00;0.00;0.00;2.20;;"Sweetness = 100%; GI = 7"
Inulin [Vit4ever];15.00;g;2;210.00;0.00;8.00;8.00;0.00;0.20;0.09;;"Sweetness = 8%; GI ~= 0"
Skim Milkpowder 1:10 [Vita2You];25.00;g;2;358.00;0.97;50.50;50.50;35.00;1.00;0.51;94.03;
Glycerol Monostearate (E471) [Bulk];2.00;g;2;415.00;0.00;0.00;0.00;0.00;0.00;;;
Water to MAX line;155.00;ml;3;;;;;;;;;
;;;;;;;;;;;;
Black sesame seeds, roasted [Emma Basic];10.00;g;4;597.00;51.00;2.50;1.10;25.00;0.00;;;Mix-in for a full tub (2 servings)
