Chico Caramel • Vegan (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;117.3;1.4;15.7;4.1;4.8;0.4;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;399.0;4.6;53.2;13.8;16.5;1.4;;;;;
Nutritional values total;680;g;;798.0;9.3;106.5;27.6;32.9;2.9;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.28;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";16.51%;;;;LOW-FAT;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);20.1;g;;3.0%;;;;;;;;;;
ℹ️ Net carbs;63.5;g;;*∝ 5 servings@136g:* 12.7g;;;*∝ 3 servings@227g:* 21.2g;;;*energy ratio (low <20%):* 31.8%;;;;
"> 🌿 **Vegan & Dairy-free**<br />Recipe is using only soy milk and protein isolate.

Not the lowest in calories, but rich in chocolate+caramel flavor and high in protein.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Process on Lite Ice Cream, followed by a scrape-down with compaction and a respin.

Rating: 😋😋🍫🍫
";;;;;;;;;;;;;;
"> *Served with whipped cream and strawberry jam.*

🔜 Flavor is good, but the texture was a bit dense, crumbly, and hard. The soy protein is halved, and VG increased.

**Topping & mix-in options**

 * Walnuts (crumbled) or [other nuts](../../T/Toppings/#chopped-nuts) (chopped)";;;;;;;;;;;;;;
"1. Mix the boiling water with the cocoa powder to bloom it, then let it cool down.
 1. Cut the dates into halves by their long side, and make sure they’re pitted and not spoiled.
 1. In an empty Creami tub, blend the chickpeas, aquafaba, and dates first, to a smooth paste.
 1. Then add the other ‘wet’ ingredients and the cocoa.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Water (boiling);150.00;ml;0;0.00;0.00;0.00;0.00;0.00;0.00;;;;;1
Cocoa Powder Organic 11% [Sevenhills];40.00;g;0;367.00;11.00;26.80;0.90;28.00;0.05;-1.30;;;;1
Chickpeas (organic);60.00;g;1;420.00;0.30;15.40;1.00;5.90;0.60;;;can:  258/400g;;1
Aquafaba (chickpea liquid);40.00;ml;1;30.00;0.50;3.00;0.50;1.00;0.01;;;;;1
Medjool dates (pitted, organic) [Seba Garden];40.00;g;1;277.00;0.20;75.00;66.00;1.80;0.01;0.66;;2 dates • distinctive caramel taste with hints of vanilla;;1
Soy milk 1.6% (sugar-free) [Berief];200.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Glycerin (E422, VG) [hd-line];20.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Brandy or Vodka 40 vol%;15.00;g;1;280.00;;;;;;2.96;;*alternative:* 12g (additional) vegetable glycerin for a sober recipe;;1
Soy protein isolate (nature) [Powerstar];10.00;g;2;372.00;1.00;1.00;0.00;89.80;2.50;;93.00;1kg bag, unsweetened, unflavored;;1
SweEX (Erythritol + Xylitol 3:2);33.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 44g allulose or dextrose;100.00;1
Salt;2.00;g;2;;;;;;100.00;5.90;;;;1
;;;;;;;;;;;;;;
Soy milk 1.6% (sugar-free) [Berief];70.00;ml;3;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;fill to MAX line;;1
Flavor drops Caramel (sucralose) [IronMaxx];≈6;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
