Chocolate Caramel (Deluxe);;;;;;;;;;;;;
;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;
Nutritional values per 100g/ml;100;g;;96.8;3.2;13.7;1.1;6.0;0.1;;;;
Nutritional values per ½ Deluxe Tub;360;g;;348.5;11.6;49.3;4.1;21.7;0.5;;;;
Nutritional values total;720;g;;697.1;23.1;98.5;8.1;43.5;1.1;;;;
;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.86;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";24.94%;;;;;;Low-Sugar;Hi-Protein;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);33.4;g;;4.6%;;;;;;;;;
ℹ️ Net carbs;31.3;g;;*∝ 5 servings@144g:* 6.3g;;;*∝ 3 servings@240g:* 10.4g;;;;;;
;;;;;;;;;;;;;
"FroYo spin; very dense; a few small ice crystals. Taste of the cocoa and caramel combo is great.

Might add some almond butter next time, or replace the yogurt with cream cheese.";;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%]
Water (boiling);100.00;ml;0;;;;;;;;;;
Cocoa Powder Organic 11% [Sevenhills];40.00;g;0;367.00;11.00;26.80;0.90;28.00;0.05;;;;
Soy milk 1.6% (sugar-free) [Berief];275.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;;;
Greek Yogurt 9% [Lyttos];140.00;g;1;113.00;9.20;3.80;3.80;3.20;0.13;0.04;7.91;;
Glycerin (E422, VG) [hd-line];20.00;g;1;400.00;;99.00;;;;3.70;;"POD = 60%; GI = 5; Density = 1.26 g/ml";50.00
Brandy or Vodka 40 vol%;10.00;g;1;280.00;;;;;;2.96;;;
Xylitol (E967);30.00;g;2;238.00;;100.00;;;;2.20;;"POD = 100%; GI = 7";100.00
Whey protein Caramel [MaxiNutrition];25.00;g;2;392.00;5.80;6.20;5.30;78.00;0.57;0.05;89.20;;
ICSv2 [Erythritol / Inulin / CMC / Guar / XG / Salt];30.00;g;2;107.2;0.0;95.5;3.7;0.1;1.7;1.32;;http://bit.ly/4frc4Vj;90.80
;;;;;;;;;;;;;
Water to MAX line;50.00;ml;3;;;;;;;;;;
Flavor drops Caramel (sucralose) [IronMaxx];2–4;drops;3;;;;;;;;;to taste;
Flavor drops Vanilla (sucralose) [IronMaxx];2–4;drops;3;;;;;;;;;to taste;
;;;;;;;;;;;;;
Jun 21, 2025;Switched to soy milk;;;;;;;;;;;;
