Coffee&Cream (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;95.7;5.6;11.6;2.2;3.3;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;325.4;18.9;39.6;7.6;11.3;0.6;;;;;
Nutritional values total;680;g;;650.8;37.9;79.2;15.1;22.7;1.1;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.78;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";13.92%;;;;;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);41.4;g;;6.1%;;;;;;;;;;
ℹ️ Net carbs;24.3;g;;*∝ 5 servings@136g:* 4.9g;;;*∝ 3 servings@227g:* 8.1g;;;*energy ratio (low <20%):* 14.9%;;;;
"Crafted with extra strong coffee, silky cream cheese, and a whisper of alcohol, it delivers a grown-up flavor profile with a smooth texture.

Spin on Sorbet, followed by a scrape-down and a re-spin.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"The coffee flavor is there but not dominant,
the consistency is soft and firms up after several hours in the freezer.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Rating: 😋😋😋☕☕;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Extra strong coffee;350.00;ml;1;0.00;0.00;0.00;0.00;0.00;0.00;;;;;1
Soy milk 1.6% (sugar-free) [Berief];100.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Cream Cheese 23% [Exquisa];50.00;g;1;238.00;22.50;3.00;3.00;5.50;0.70;0.03;9.64;click the link for UK / US equivalents;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Brandy or Vodka 40 vol%;10.00;g;1;280.00;;;;;;2.96;;*alternative:* 8g (additional) VG for a sober recipe;;1
❔Coffee Liqueur 25 vol% [Caffè Borghetti];14.00;g;1;240.00;0.00;23.00;23.00;0.00;;2.08;;if you have it, *instead of* the brandy/vodka;;
;;;;;;;;;;;;;;
SweEX (Erythritol + Xylitol 3:2);40.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 53g allulose or dextrose;100.00;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];10.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;*not-as-good substitute:* 1g guar, 0.3g xanthan, and 0.3g salt;73.80;1
Whey + Casein protein (grass-fed) [Vilgain];10.00;g;2;384.00;4.60;5.70;5.60;80.00;0.50;0.06;90.40;with stevia;;1
Skim milk powder 1:10 (SMP) [Vita2You];20.00;g;2;358.00;0.97;50.50;50.50;35.00;1.00;0.51;94.03;;;1
❔Instant Coffee [Mount Hagen];3.00;g;2;0.00;;;;;;;;"*optional*, for a stronger coffee taste; 1.5g per 125ml";;
❔Cocoa Powder Organic 11% [Sevenhills];3.00;g;2;367.00;11.00;26.80;0.90;28.00;0.05;-1.30;;;;
;;;;;;;;;;;;;;
Water to MAX line;0.00;ml;3;0.00;;;;;;;;;;0
Cream 32% [REWE Beste Wahl];75.00;ml;3;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;;;1
Flavor drops Caramel (sucralose) [IronMaxx];≈3;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
