Creamia (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;185.1;12.1;16.0;10.9;4.6;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;629.4;41.3;54.3;37.2;15.7;0.7;;;;;
Nutritional values total;677;g;;1252.2;82.2;108.1;74.0;31.3;1.4;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);22.50;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";10.00%;;;;;;;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);82.8;g;;12.2%;;;;;;;;;;
ℹ️ Net carbs;74.4;g;;*∝ 5 servings@135g:* 14.9g;;;*∝ 3 servings@226g:* 24.8g;;;*energy ratio (low <20%):* 23.8%;;;;
;;;;;;;;;;;;;;
"Cremia is a premium Japanese soft-serve ice cream known for its rich, creamy texture and luxurious taste.
It's made with 25% fresh Hokkaido cream and 12.5% milk fat, giving it a higher butterfat content than typical soft-serve.
Cremia is typically served in a distinctive, buttery *langue de chat* (cat's tongue) cookie cone.

The original UK YouTube recipe uses double cream (48% fat, 160:380), leading to 16.3% fat in total.
It can be replacedd by Crème double or Mascarpone with 42% (190:355), or with whipping cream 32% (250:300).

I also added some stabilizer so it does not melt so fast, and replaced the sugar.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Spin on “Ice Cream”, scrape down is likely not needed, and mix-in if you want it even softer.

> *Tub after 'Ice Cream' and 'Mix-in', and the lid at the end.*

> *You can draw peaks with a spoon from this, and there are no butter nodules or other blemishes. Perfectly smooth.*

Rating: 😋🥛🥛🥛🐮 (milky explosion of decadence)

> *Adapted from [Milkiest Milk Ice Cream Recipe](https://www.tashcakes.com/2024/07/milkiest-milk-ice-cream-recipe-cremia.html).*";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Weight and combine ‘dry’ ingredients in a bowl.
 1. Pour the milk into a small saucepan.
 1. Whisk in the ‘dry’ ingredients.
 1. Heat up the milk on medium heat to about 60°C, and add the cream.
 1. Let it cool down a bit in a water bath, add to an empty Creami tub.";;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Milk 3.5% [Weihenstephan];380.00;ml;1;64.00;3.50;4.70;4.70;3.50;0.13;0.05;8.97;;;1
Mascarpone 42% [Galbani];;g;1;412.00;41.50;4.80;4.50;4.80;0.08;;10.38;;;1
Full Fat Milkpowder [Mr. Brown];55.00;g;2;482.00;26.00;35.00;35.00;25.00;0.94;0.35;69.00;;;1
Dextrose;35.00;g;2;350.00;;100.00;100.00;;;1.90;;POD 70%;;0
Sugar;30.00;g;2;387.00;;100.00;100.00;;;1.00;;;;0
Trehalose [SaporePuro];35.00;g;2;355.00;0.00;89.00;89.00;0.00;0.03;1.00;;"*alternative:* dextrose • POD = 45%; GI = 38";;1
Xylitol (E967);30.00;g;2;238.00;;100.00;;;;2.20;;"*alternative:* sugar • POD = 100%; GI = 7";100.00;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];5.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;*alternative:* 0.75g guar + .25g xanthan;73.80;1
Glycerol Monostearate (E471) [Bulk];1.50;g;2;415.00;;;;;;;;*alternative:* lecithin;;1
Cream 32% [REWE Beste Wahl];170.00;ml;3;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;;;1
Cream 48% (double cream);;ml;3;445.00;48.00;2.60;2.60;1.70;0.10;0.03;4.84;;;1
Crème double 42%;;ml;3;398.00;42.00;3.00;3.00;2.20;0.10;0.03;5.39;;;1
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Aug 9, 2025;Reduced fat to 12%;;;;;;;;;;;;;
