Dark Temptation (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;149.6;6.2;15.3;2.8;7.0;0.4;;;;;
Nutritional values per ½ Deluxe Tub;360;g;;538.6;22.4;55.1;10.0;25.4;1.3;;;;;
Nutritional values total;765;g;;1144.6;47.5;117.2;21.3;53.9;2.7;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.55;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";18.83%;;;;;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);37.6;g;;4.9%;;;;;;;;;;
ℹ️ Net carbs;48.6;g;;*∝ 5 servings@153g:* 9.7g;;;*∝ 3 servings@255g:* 16.2g;;;*energy ratio (low <20%):* 17%;;;;
;;;;;;;;;;;;;;
"Rum-raisin pecan chocolate ice cream, using both cocoa powder and dark chocolate, and a coffee note.

Spun on “FroYo”, the result was soft, ice-free and creamy. Folded in the mix-ins manually with a chopstick, and returned the tub to the freezer for firming up.

Rating: 😋🍫 (untested)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
> *Served with a coconut sauce for contrast, and melon balls because I had them and they make everything healthy. 😇*;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Soak 15g raisins overnight in 50g rum, in a closed container, fully covered.
 1. In a bowl, mix the cocoa powder with the coffee and protein powder.
 1. Pour the boiling water over the cocoa to bloom it, and whisk to combine to a smooth paste.
 1. Break the chocolate into pieces and melt them into the hot paste, then let it cool down a bit.
 1. Add ""wet"" ingredients and the chocolate paste to empty Creami tub (use a silicone spatula).";;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Water (boiling);200.00;ml;0;;;;;;;;;;;1
Cocoa Powder Organic 11% [Sevenhills];50.00;g;0;367.00;11.00;26.80;0.90;28.00;0.05;-1.30;;;;1
Dark chocolate 85% [Moser-Roth/Aldi];50.00;g;0;604.00;50.00;20.00;14.00;11.00;0.24;-0.31;;Portion = 25g;;1
Dark chocolate 70% [Moser-Roth/Aldi];;g;0;578.00;42.00;34.00;28.00;9.50;0.02;-0.10;;Portion = 25g;;1
Instant Coffee [Mount Hagen];3.00;g;0;0.00;;;;;;;;1.5g per 125ml;;1
Whey + Casein protein (grass-fed) [Vilgain];30.00;g;0;384.00;4.60;5.70;5.60;80.00;0.50;0.06;90.40;with stevia;;1
Soy milk 1.6% (sugar-free) [Berief];200.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Strong Coffee or Espresso;;ml;1;;;;;;;;;;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"POD = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Jamaica Rum 43 vol%;35.00;g;1;300.00;;;;;;3.18;;from soaking the raisins;;1
Coffee Liqueur 25 vol% [Caffè Borghetti];;ml;1;240.00;0.00;23.00;23.00;0.00;;1.69;;1 bottle = 700ml;;1
Soy sauce;10.00;ml;1;75.00;0.00;7.40;6.70;7.20;17.10;0.07;;½ tbsp;;1
Syrup Caramel (low-sugar) [Sukrin];;ml;1;149.00;0.00;21.00;1.80;0.00;0.07;;;14% sorbitol, erythritol, stevia;10.00;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];15.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;unsweetened “ICSv2”;73.80;1
Erythritol (E968);40.00;g;2;24.00;0.00;100.00;0.00;0.00;0.00;2.80;;POD = 75%;100.00;0
