Dulce de Leche • Vegan (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;90.3;2.8;14.7;4.2;5.0;0.3;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;306.9;9.6;50.0;14.3;17.1;0.9;;;;;
Nutritional values total;680;g;;613.7;19.2;100.1;28.6;34.3;1.8;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);31.62;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";22.34%;;;;LOW-FAT;;Low-Sugar;Hi-Protein;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);35.1;g;;5.2%;;;;;;;;;;
ℹ️ Net carbs;46.2;g;;*∝ 5 servings@136g:* 9.2g;;;*∝ 3 servings@227g:* 15.4g;;;*energy ratio (low <20%):* 30.1%;;;;
"A creamy, dairy-free twist on “Dulce de Leche” ice cream.
This recipe blends soy milk, the sweetness and flavor of Medjool dates, and creamy almond butter
for a rich caramel-like flavor — with reasonable macros and completely plant-based.

> 🌿 **Vegan & Dairy-free**";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Process on *Sorbet*, [hold it shortly under running water](https://jhermann.github.io/ice-creamery/info/tips%2Btricks/#handling-of-icy-sides-bottom)
*after* that.
Then a scrape-down and a respin or mix-in.<br clear=all />";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Rating: 😋🥛 (untested);;;;;;;;;;;;;;
"1. Cut the dates into halves by their long side, and make sure they’re pitted and not spoiled.
 1. Mix the emulsifier with the sweetener in a small bowl (grind down any clumps with the back of a spoon).
 1. Heat the specified part of the milk in the microwave to about 50°C, so the almond butter integrates better.
 1. Blend the dates with the milk and the other ‘prep’ ingredients to a smooth liquid.
 1. Fill up with the ‘wet’ ingredients.";;;;;;;;;;;;;;
"1. Before freezing, cool down the base and let the flavors meld in the fridge for 1–2 hours.
 1. Stir to remove any leftover foam and float any solids that settled down.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Soy milk 1.6% (sugar-free) [Berief];100.00;ml;0;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Medjool dates (pitted, organic) [Seba Garden];40.00;g;0;277.00;0.20;75.00;66.00;1.80;0.01;0.66;;2 dates • distinctive caramel taste with hints of vanilla;;1
Almond butter (creamy) [Seba Garden];20.00;g;0;598.00;52.54;10.11;4.86;21.15;0.01;0.05;;;;1
SweEX (Erythritol + Xylitol 3:2);18.00;g;0;109.60;;100.00;;;;2.56;;*alternative:* 24g allulose or dextrose;100.00;1
Glycerol Monostearate (E471) [Bulk];2.00;g;0;415.00;;;;;;;;*alternative:* lecithin;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Brandy or Vodka 40 vol%;10.00;g;1;280.00;;;;;;2.96;;*alternative:* 8g (additional) vegetable glycerin for a sober recipe;;1
Soy milk 1.6% (sugar-free) [Berief];350.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Molasses [Grafschafter Goldsaft];;g;1;306.00;0.50;70.00;66.00;2.30;0.03;0.66;;Sweetness = 66%;;1
SweEX (Erythritol + Xylitol 3:2);15.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 20g allulose or dextrose;100.00;1
Inulin [Vit4ever];15.00;g;2;210.00;;97.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0";89.00;1
Soy protein isolate (nature) [Powerstar];15.00;g;2;372.00;1.00;1.00;0.00;89.80;2.50;;93.00;unsweetened, unflavored;;1
Salt;1.00;g;2;;;;;;100.00;5.90;;;;1
Carboxymethyl Cellulose (CMC / E466) [GoodBake];0.70;g;2;600.00;;75.00;;;;;;*alternative:* guar gum;;1
Xanthan gum (E415, XG);0.30;g;2;320.00;;78.00;;6.00;1.00;;;;;1
Guar gum (E412);;g;2;180.00;0.60;84.00;0.00;5.50;0.30;;;;;1
;;;;;;;;;;;;;;
Soy milk 1.6% (sugar-free) [Berief];78.00;ml;3;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;fill to MAX line;;1
Flavor drops Caramel (sucralose) [IronMaxx];≈4;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
