FroSky (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;86.6;1.2;13.8;4.3;6.9;0.2;;;;;
Nutritional values per ½ Deluxe Tub;360;g;;311.9;4.4;49.7;15.3;24.9;0.6;;;;;
Nutritional values total;720;g;;623.8;8.8;99.4;30.6;49.8;1.2;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.83;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";31.93%;;;;LOW-FAT;;Low-Sugar;Hi-Protein;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);78.5;g;;10.9%;;;;;;;;;;
ℹ️ Net carbs;46.2;g;;*∝ 5 servings@144g:* 9.2g;;;*∝ 3 servings@240g:* 15.4g;;;;;;;
"Skyr with fruit or fruit powder.

You can swap out the cherries for one of the “Optional” ingredients, and adapt the “Fill to MAX” accordingly.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Processed on FroYo + re-spin, likely would have profited from another re-spin (minor ice crystals).

Made with mangos, tangy & fresh. Rating: 😋😋😋😋";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Skyr [arla];425.00;ml;1;63.00;0.20;4.00;4.00;10.60;0.14;0.04;17.80;"82% water; 450g container";;1
Cream Cheese 23% [Exquisa];30.00;g;1;238.00;22.50;3.00;3.00;5.50;0.70;0.03;9.64;;;1
Glycerin (E422, VG) [hd-line];20.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Brandy or Vodka 40 vol%;10.00;g;1;280.00;;;;;;2.96;;;;1
ICSv2 [Erythritol / Inulin / CMC / Guar / XG / Salt];20.00;g;2;107.2;0.0;95.5;3.7;0.1;1.7;1.32;;http://bit.ly/4frc4Vj;90.80;1
Xylitol (E967);25.00;g;2;238.00;0.00;100.00;0.00;0.00;0.00;2.20;;"Sweetness = 100%; GI = 7";100.00;1
;;;;;;;;;;;;;;
Cherries;125.00;g;1;61.00;0.10;13.60;9.60;0.90;0.00;0.10;;;;1
Mango;125.00;g;6;62.00;0.50;13.00;13.00;0.60;0.00;0.13;;fresh or frozen [78kcal, 16g sugar];;
Ube Yam Root powder [Fil Choice];30.00;g;6;382.00;0.60;83.00;9.50;6.10;0.30;0.10;;"like vanilla+pistachio; add more liquid at the end [115kcal, 3g sugar]";;
Lingonberry powder [Bio Leis];30.00;g;6;351.00;2.30;78.80;72.50;3.70;0.01;0.73;;add more liquid at the end [105kcal, 22g sugar];;
Strawberry powder [Supergarden];30.00;g;6;287.00;3.70;50.90;50.60;7.60;0.00;0.51;;add more liquid at the end [86kcal, 15g sugar];;
;;;;;;;;;;;;;;
Soy milk 1.6% (sugar-free) [Berief];65.00;ml;3;30.00;1.60;0.90;0.00;3.00;0.08;;;;;1
Flavor drops Vanilla (sucralose) [IronMaxx];≈3;drops;3;;;;;;;;;to taste;;
