GaMe On (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;55.6;0.4;13.0;4.0;3.3;0.2;;;;;
Nutritional values per ½ Deluxe Tub;360;g;;200.0;1.5;46.6;14.4;12.0;0.7;;;;;
Nutritional values total;720;g;;400.0;2.9;93.3;28.8;24.0;1.3;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);31.13;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";23.97%;;;;LOW-FAT;;Low-Sugar;Hi-Protein;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);23.2;g;;3.2%;;;;;;;;;;
ℹ️ Net carbs;45.9;g;;*∝ 5 servings@144g:* 9.2g;;;*∝ 3 servings@240g:* 15.3g;;;*energy ratio (low <20%):* 45.9%;;;;
;;;;;;;;;;;;;;
"Galia melon sherbet composed of two thirds melon pulp plus soy milk and protein to make it creamier.

> 🌿 **Vegan & Dairy-free**<br />Recipe is using only soy milk and protein.

Split the melon along its ‘equator’, spoon out the seeds and any soft flesh, remove the ‘polar caps’.
Then use a vegetable knife to remove the skin, and cut into manageable pieces.
Finally follow the directions below.<br clear=all />
";;;;;;;;;;;;;;
"Spin on “Sorbet”, scrape down, and re-mix.
";;;;;;;;;;;;;;
"Rating: 😋😋😋🍈🍈 
";;;;;;;;;;;;;;
"The honey melon I also tried this with had a harder shell, possibly was less ripe than the Galia one.
";;;;;;;;;;;;;;
"The yield was around 66%, about half the melon for 500g pulp. I had to strain it after blending, since there were too many fibrous pieces in there.
When removing the skin, go by knife resistance to know how much to cut off, and taste-test a piece that you think is soft enough.

> *Served with melon balls infused in brandy and cream.*
";;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Galia melon (organic);500.00;g;1;26.00;0.10;5.60;5.60;0.50;0.08;0.06;;1 melon = 1.3kg, 60–70% yield;;1
Soy milk 1.6% (sugar-free) [Berief];75.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";;1
Brandy or Vodka 40 vol%;10.00;g;1;280.00;;;;;;2.96;;;;1
Lemon juice;10.00;ml;1;25.00;0.10;3.36;1.65;0.30;0.01;0.02;;;;1
Honey;;g;1;286.00;0.00;81.00;76.20;;;1.46;;;;1
SweEX (Erythritol + Xylitol 3:2);40.00;g;2;109.60;;100.00;;;;2.56;;"POD ≈ 90%; GI < 7";100.00;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];10.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;unsweetened “ICSv2”;73.80;1
Soy protein isolate (nature) [Powerstar];20.00;g;2;372.00;1.00;1.00;0.00;89.80;2.50;;93.00;1kg bag, unsweetened, unflavored;;1
;;;;;;;;;;;;;;
Soy milk 1.6% (sugar-free) [Berief];40.00;ml;3;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Flavor drops Peach / Maracuja (sucralose) [IronMaxx];≈5;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
Galia melon (organic);500.00;g;6;26.00;0.10;5.60;5.60;0.50;0.08;0.06;;[130kcal, 28g sugar];;
Honeydew melon (organic);500.00;g;6;36.00;0.10;9.10;8.10;0.50;0.08;0.08;;[180kcal, 41g sugar];;
