Ice Cream Stabilizer • ICSv2;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;;;
Nutritional values per 100g/ml;100;g;;107.2;0.0;95.5;3.7;0.1;1.7;1.32;;;
Nutritional values per dose;30;g;;32.2;0.0;28.7;1.1;0.0;0.5;1.32;;;
Nutritional values total;218;g;;233.8;0.0;208.2;8.0;0.3;3.7;1.32;;;
;;;;;;;;;;;;;
FPDF;1.42;;;;;;;;;;;;
FPDF (w/o salt);1.32;;;;;;;;;;;;
Servings (Deluxe);7.27;;;;;;;;;;;;
ℹ️ Net carbs;19.2;g;;*∝ 7 servings@31g:* 2.7g;;;;;;;;;
;;;;;;;;;;;;;
"> *Pre-mixed stabilizer for Ninja Creami recipes.*

It takes handling small amounts of ingredients and their ratio to each other 
out of the process of mixing your final ice cream base,
making the overall process less finicky.

Use 30g of the mix for a Creami Deluxe tub (24oz, yield 7),
and 20g for the regular size (16oz, yield 11).

The salt is added for convenience with final recipes,
and for a FPDF boost.";;;;;;;;;;;;;
;;;;;;;;;;;;;
http://bit.ly/4frc4Vj;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;0carbs:;90.8;%;;;;;;
;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;;Comment;0Carb[%]
Erythritol (E968);100.00;g;2;0.00;0.00;100.00;0.00;0.00;0.00;2.80;;Sweetness = 75%;100.00
Inulin [Vit4ever];100.00;g;2;210.00;;97.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0";89.00
Tylose powder (E466, Tylo, CMC);10.00;g;2;143.00;0.00;75.00;0.00;0.00;0.00;;;;
Guar gum (E412);3.50;g;2;180.00;0.60;84.00;0.00;5.50;0.30;;;;
Salt;3.50;g;2;0.00;0.00;0.00;0.00;0.00;100.00;5.90;;;
Xanthan gum (E415, XG);1.00;g;2;320.00;0.00;78.00;0.00;6.00;1.00;;;;
Xylitol (E967);;g;2;238.00;0.00;100.00;0.00;0.00;0.00;2.20;;"Sweetness = 100%; GI = 7";100.00
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Oct 29, 2024;ICSv2 – Added inulin;;;;;;;;;;;;
Jun 16, 2025;Tara → Guar;;;;;;;;;;;;
