Irish Cream (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;;;
Nutritional values per 100g/ml;100;g;;142.2;8.2;5.9;3.1;4.2;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;483.6;27.8;20.1;10.5;14.4;0.6;;;;;
Nutritional values total;686;g;;975.8;56.1;40.6;21.2;29.0;1.3;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);31.52;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";11.89%;;;;;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);51.7;g;;7.5%;;;;;;;;;;
ℹ️ Net carbs;29.6;g;;*∝ 5 servings@137g:* 5.9g;;;*∝ 3 servings@229g:* 9.9g;;;*energy ratio (low <20%):* 12.1%;;;;
;;;;;;;;;;;;;;
"*Irish Cream* ice cream with subtle notes of vanilla, coffee, and chocolate,
for an easygoing, grown‑up treat.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Spun on “Light Ice Cream”, with scrape down and a re-mix.

Rating: 😋🍀🐮🍹🍫 (very soft, flavor dominated by alcohol and cocoa, as it should be)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Mix the hot water with the cocoa powder to bloom it, then let it cool down.
 1. Add ""wet"" ingredients and the bloomed cocoa to empty Creami tub.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Water (almost boiling, 90°C);50.00;ml;0;;;;;;;;;;;1
Cocoa Powder Organic 11% [Sevenhills];15.00;g;0;367.00;11.00;26.80;0.90;28.00;0.05;-1.30;;;;1
Soy milk 1.6% (sugar-free) [Berief];350.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Irish Whiskey 40% [Jameson];70.00;g;1;280.00;;;;;0.00;2.96;;;;1
Vanilla Extract (w/ alcohol) [Native Vanilla];;ml;1;300.00;;;;;;2.22;;;;1
Milk powder 1:10 (skim, SMP) [Vita2You];30.00;g;2;358.00;0.97;50.50;50.50;35.00;1.00;0.51;94.03;;;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];15.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;*not-as-good substitute:* 1.5g guar, 0.5g xanthan, and 0.5g salt;73.80;1
Instant Coffee [Mount Hagen];4.00;g;2;0.00;;;;;;;;1.5g per 125ml;;1
Vanilla Bean Powder [InterVanilla];2.00;g;2;288.00;0.10;13.00;13.00;0.00;0.00;;;;;1
Sweetener Tablets [LightSüß];15.00;pcs;2;0.00;;;;;;;;1 tablet ≃ 4g sugar;;
;;;;;;;;;;;;;;
Cream 32% [REWE Beste Wahl];150.00;ml;3;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;;;1
Flavor drops Vanilla (sucralose) [IronMaxx];≈8;drops;3;;;;;;;;;to taste;;
