Jeni's Light (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;123.9;7.3;20.6;1.1;2.5;0.3;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;421.3;24.8;69.9;3.8;8.6;0.9;;;;;
Nutritional values total;681;g;;843.7;49.6;140.0;7.6;17.2;1.9;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);28.83;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";8.13%;;;;;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);26.9;g;;4.0%;;;;;;;;;;
ℹ️ Net carbs;26.3;g;;*∝ 5 servings@136g:* 5.3g;;;*∝ 3 servings@227g:* 8.8g;;;*energy ratio (low <20%):* 12.5%;;;;
"*Light* base recipe that yields ice cream that aims to have the same taste, texture, consistency, and finish
as Jeni’s ice cream base.
The original version can be found in the book “Jeni's Splendid Ice Creams at Home” (with recipes for lots of flavors).

Energy is reduced from almost 1500kcal to about 850kcal, fat roughly halved, and sugars are reduced to 6% compared to the original.

> *Source:* https://www.saveur.com/article/Recipes/Jenis-Ice-Cream-Base/";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
**Scaled to a Creami Deluxe tub, using “European ingredients” (mostly regarding fat content), and sane units of measurement.**;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. **Mix cornstarch slurry**: In a small bowl, whisk the cornstarch with a few tablespoons of the milk until smooth.
 1. **Heat base**: In a saucepan, whisk the dry ingredients into the remaining milk. Bring to a gentle boil over medium heat.
 1. **Thicken**: Stir in the cornstarch slurry and simmer for 1–2 minutes until slightly thickened.
 1. **Add cream cheese and VG**: Remove from heat, add VG, and whisk in the softened cream cheese until fully incorporated.
 1. **Chill**: Cool the mixture quickly (ice bath or fridge) until completely cold — ideally overnight.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Soy milk 1.6% (sugar-free) [Berief];45.00;ml;0;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Corn starch;10.00;g;0;353.00;0.50;86.00;0.50;0.50;0.01;;;;;1
Soy milk 1.6% (sugar-free) [Berief];350.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Cream Cheese 23% [Exquisa];50.00;g;1;238.00;22.50;3.00;3.00;5.50;0.70;0.03;9.64;click the link for UK / US equivalents;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"POD = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
SweEX (Erythritol + Xylitol 3:2);40.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 53g allulose or dextrose;100.00;1
Inulin [Vit4ever];35.00;g;2;210.00;;97.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0";89.00;1
Isomalt (E953) [GoodBake];35.00;g;2;236.00;;98.00;;;;0.39;;Very low GI, 50% sweetness;100.00;1
Salt;1.00;g;2;;;;;;100.00;5.90;;26 quick shakes (with my shaker);;1
;;;;;;;;;;;;;;
Cream 32% [REWE Beste Wahl];100.00;ml;3;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;;;1
Stevia drops “natural” [Nick’s];≈7;drops;3;;;;;;;;;to taste;;
