Just Fruit (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;40.0;0.3;12.2;3.8;0.5;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;135.9;0.9;41.6;12.9;1.9;0.8;;;;;
Nutritional values total;680;g;;271.9;1.8;83.1;25.8;3.7;1.5;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.47;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";5.45%;;;LOW-CAL;LOW-FAT;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);0.0;g;;0.0%;;;;;;;;;;
ℹ️ Net carbs;38.1;g;;*∝ 5 servings@136g:* 7.6g;;;*∝ 3 servings@227g:* 12.7g;;;*energy ratio (low <20%):* 56.1%;;;;
;;;;;;;;;;;;;;
"Sorbet mostly from fresh / frozen fruit, with minimal additions to make it processable (soft, scoopable).

> 🌿 **Vegan & Dairy-free**

Note that strawberries, with their relatively low sugar content, are well suited for this.
So are many types of melon.
With pineapple, the tub has about 440kcal and a small serving 16g net carbs.

You can reduce the amount of fruit and replace it by water to get better macros (lower carbs / sugar).
That needs compensation for the removed sugar though, replace with
trehalose (same amount as the removed fruit sugar, but it has a way lower GI),
alcohol 40 vol% (half the amount of ‘lost’ sugar), or more sugar alcohols (also half the sugar amount).

*Example:* Just 300g strawberries and 5g more sugar alcohols has 231 kcal and 30g net carbs.

Spin on “Sorbet”, scrape down, and respin.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Rating: 😋🍓🍓🍓🍨 (very smooth, more like ice cream than a sorbet);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Strawberries;450.00;g;1;31.00;0.40;5.80;5.70;0.80;0.00;0.06;;;;1
Pineapple in juice [Del Monte];450.00;g;1;68.00;;15.00;15.00;0.40;0.02;0.15;;canned [306kcal, 68g sugar];;0
Water (cold);100.00;ml;1;;;;;;;;;;;1
Glycerin (E422, VG) [hd-line];20.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Brandy or Vodka 40 vol%;;g;1;280.00;;;;;;2.96;;*alternative:* 0g (additional) VG for a sober recipe;;0
Lemon juice;10.00;ml;1;25.00;0.10;3.36;1.65;0.30;0.01;0.02;;;;1
Apple Juice;;ml;1;51.00;0.00;11.81;10.97;0.00;0.01;0.11;;;;0
Lemon zest (½ peel or less), or lime zest;;tsp;1;;;;;;;;;Zest the lemon / lime BEFORE juicing;;0
Orange juice (with pulp) [Aldi];;ml;1;43.00;0.50;8.80;8.80;0.70;0.01;0.09;;;;0
Trehalose [SaporePuro];11.50;g;2;355.00;0.00;89.00;89.00;0.00;0.03;1.00;;"POD = 45%; GI = 38";;0
Dextrose;55.00;g;2;350.00;;100.00;100.00;;;1.90;;POD 70%;;0
Honey;55.00;g;1;286.00;0.00;81.00;76.20;;;1.46;;;;0
Agave syrup;30.00;ml;1;313.00;0.50;77.00;77.00;0.50;0.00;1.80;;"POD ≈160; GI=11";;0
Allulose;55.00;g;2;40.00;;80.00;;;;1.90;;"Sweetness = 70%; GI  ~= 0";80.00;0
SweEX (Erythritol + Xylitol 3:2);5.00;g;2;109.60;;100.00;;;;2.56;;"alternatives: 7g allulose or dextrose; POD ≈ 85%; GI < 7";100.00;0
SweEX (Erythritol + Xylitol 3:2);35.00;g;2;109.60;;100.00;;;;2.56;;"alternatives: 47g allulose or dextrose; POD ≈ 85%; GI < 7";100.00;1
Carboxymethyl Cellulose (CMC / E466) [GoodBake];1.25;g;2;600.00;;75.00;;;;;;alternatives: guar gum (same amount);;1
Xanthan gum (E415, XG);1.25;g;2;320.00;;78.00;;6.00;1.00;;;1tsp ≈ 2.8g;;1
