Lemon Sorbet (Deluxe);;;;;;;;;;;;;
;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;
Nutritional values per 100g/ml;100;g;;28.0;0.0;12.1;0.5;0.1;0.1;;;;
Nutritional values per ½ Deluxe Tub;360;g;;100.7;0.1;43.6;1.8;0.2;0.3;;;;
Nutritional values total;720;g;;201.4;0.1;87.3;3.5;0.4;0.7;;;;
;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.42;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";0.84%;;;LOW-CAL;LOW-FAT;;Low-Sugar;;Low-Salt;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);0.0;g;;0.0%;;;;;;;;;
ℹ️ Net carbs;13.4;g;;*∝ 5 servings@144g:* 2.7g;;;*∝ 3 servings@240g:* 4.5g;;;;;;
> 🌿 **Vegan & Dairy-free**<br />Recipe is using only lemon juice and no dairy.;;;;;;;;;;;;;
;;;;;;;;;;;;;
> ℹ️ This is keto, at 13 net carbs per tub, so 2-5 per serving.;;;;;;;;;;;;;
;;;;;;;;;;;;;
"Process on Sorbet.

Rating: 😋 (experimental)";;;;;;;;;;;;;
;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%]
Water (cold);400.00;ml;1;;;;;;;;;;
Lemon juice;125.00;ml;1;25.00;0.10;3.36;1.65;0.30;0.01;0.02;;;
Lemon zest (½ peel or less);1.00;tsp;1;;;;;;;;;Zest the lemon BEFORE juicing;
Flavor drops Peach / Maracuja (sucralose) [IronMaxx];10.00;drops;1;;;;;;;;;;
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00
Brandy or Vodka 40 vol%;10.00;g;1;280.00;;;;;;2.96;;;
Erythritol (E968);15.00;g;2;24.00;0.00;100.00;0.00;0.00;0.00;2.80;;POD = 75%;100.00
Xylitol (E967);15.00;g;2;238.00;;100.00;;;;2.20;;"Sweetness = 100%; GI = 7";100.00
ICSv2 [Erythritol / Inulin / CMC / Guar / XG / Salt];40.00;g;2;107.2;0.0;95.5;3.7;0.1;1.7;1.32;;http://bit.ly/4frc4Vj;90.80
Tumeric;1.00;pinch;2;;;;;;;;;for color;
;;;;;;;;;;;;;
Water to MAX line;100.00;ml;3;;;;;;;;;;
