Mango Kefir (Deluxe);;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;g;;91.7;2.5;12.2;4.9;5.4;0.3;;;
Nutritional values per ½ Deluxe Tub;360;g;;330.1;9.1;44.0;17.5;19.4;0.9;;;
Nutritional values total;720;g;;660.1;18.1;87.9;35.1;38.8;1.9;;;
;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.33;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";23.50%;;;;LOW-FAT;;Low-Sugar;Hi-Protein;;;;
Milk Solids Non-Fat (MSNF, 7-11%);58.1;g;;8.1%;;;;;;;;
;;;;;;;;;;;;
"Process on *Frozen Yogurt*, [hold it shortly under running water](https://jhermann.github.io/ice-creamery/info/tips%2Btricks/#handling-of-icy-sides-bottom)
*after* that.Then a scrape-down and a respin.

The base went from almost -18°C to -7°C after the respin.

Served after 1h refreezing with pomegranate syrup.";;;;;;;;;;;;
;;;;;;;;;;;;
Rating: 😋😋😋 (flavor is good, but needs to be creamier);;;;;;;;;;;;
;;;;;;;;;;;;
30g Ice Cream Stabilizer (ICSv2) is;"14.3g erythritol, 1.43g Tylose powder (CMC, E466), 
0.5g tara gum (E417), 0.15g xanthan (E415),
14.3g inulin, 0.5g salt.";;;;;;;;;;;
;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Kefir mild 1.5% [Milsani / Aldi];400.00;g;1;47.00;1.50;4.10;4.10;3.20;0.12;0.04;7.50;500g container • Alternative: Buttermilk
Buttermilk 1% [REWE];;ml;1;35.00;0.50;4.00;4.00;3.50;0.15;0.04;8.50;
Cream Cheese 23% [Exquisa];50.00;g;1;238.00;22.50;3.00;3.00;5.50;0.70;0.03;9.64;
Cottage Cheese 4% [REWE Bio];;g;1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml"
Brandy “Williams Birne” 40 vol%;10.00;g;1;280.00;;;;;;2.96;;
ICSv2 [Erythritol / CMC / Tara / XG / Inulin];25.00;g;2;107.30;0.00;54.70;3.70;0.10;1.70;1.32;;http://bit.ly/4frc4Vj
Xylitol;25.00;g;2;238.00;0.00;100.00;0.00;0.00;0.00;2.20;;"Sweetness = 100%; GI = 7"
Soy protein isolate (nature) [Powerstar];25.00;g;2;372.00;1.00;1.00;0.00;89.80;2.50;;93.00;1kg bag, unsweetened, unflavored
Glycerol Monostearate (E471) [Bulk];2.00;g;2;415.00;;;;;;;;
Flavor drops Peach / Maracuja (sucralose) [IronMaxx];7.00;drops;1;;;;;;;;;to taste
;;;;;;;;;;;;
Cherries;;g;1;61.00;0.10;13.60;9.60;0.90;0.00;0.10;;
Mango;125.00;g;1;62.00;0.50;13.00;13.00;0.60;0.00;0.13;;
Ube Yam Root powder [Fil Choice];;g;2;382.00;0.60;83.00;9.50;6.10;0.30;0.10;;like vanilla+pistachio
Lingonberry powder [Bio Leis];;g;2;351.00;2.30;78.80;72.50;3.70;0.01;0.73;;
Strawberry powder [Supergarden];;g;2;287.00;3.70;50.90;50.60;7.60;0.00;0.51;;
;;;;;;;;;;;;
Water to MAX line;43.00;ml;3;;;;;;;;;
