Margarita Sorbet (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;64.8;0.0;12.3;0.3;0.2;0.4;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;220.2;0.1;41.8;0.9;0.6;1.4;;;;;
Nutritional values total;683;g;;442.0;0.1;83.9;1.8;1.1;2.8;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.42;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";1.00%;;;;LOW-FAT;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);0.0;g;;0.0%;;;;;;;;;;
ℹ️ Net carbs;3.9;g;;*∝ 5 servings@137g:* 0.8g;;;*∝ 3 servings@228g:* 1.3g;;;*energy ratio (low <20%):* 3.6%;;;;
;;;;;;;;;;;;;;
"> *A frozen twist on the classic margarita — crisp, zesty, and refreshing.*

This sorbet brings the refreshing character of the cocktail into a frozen dessert.

Balancing citrus brightness with a subtle kick of tequila, it offers a light and cooling treat.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Spin on “Sorbet”, scrape down, and re-mix.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Rating: 😋🍋‍🟩🍸  (untested);;;;;;;;;;;;;;
"1. A few hours or a night before you make your Creami, hydrate the acacia gum with warm water, and let it rest.
 1. Zest the limes first, before juicing them.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Gum Arabic (Acacia, E414) [SaporePuro];30.00;g;0;180.00;0.00;0.00;0.00;2.50;0.90;;;85% fiber;;1
Water (hot, 50–60°C);50.00;ml;0;;;;;;;;;for hydrating the gum;;1
Water (cold);350.00;ml;1;;;;;;;;;;;1
Lemon juice;65.00;ml;1;25.00;0.10;3.36;1.65;0.30;0.01;0.02;;;;1
Tequila 38 vol%;65.00;g;1;266.00;;;;;;2.22;;;;1
Lime juice + zest (organic) [REWE Bio];40.00;ml;1;25.00;0.10;8.40;1.70;0.40;;;;"2 pieces; 1 lime = 60..65g";;1
Hydrated Gum Arabic;➕;;1;;;;;;;;;;;1
Isomalt (E953) [GoodBake];80.00;g;2;236.00;;98.00;;;;0.39;;Very low GI, 50% sweetness;100.00;1
Inulin [Vit4ever];;g;2;210.00;;97.00;8.00;;0.20;0.09;;;89.00;1
Sweetener Tablets [LightSüß];10.00;pcs;2;353.00;;68.00;;19.50;;;;"1 tablet ≃ 4g sugar; ~15 tablets weigh 1g";;
Salt;2.50;g;2;;;;;;100.00;5.90;;;;1
;;;;;;;;;;;;;;
Stevia drops “natural” [Nick’s];≈5;drops;3;;;;;;;;;to taste;;
