Orange Julius (Deluxe);;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;g;;89.1;1.9;16.7;7.9;3.5;0.1;;;
Nutritional values per ½ Deluxe Tub;360;g;;320.8;6.8;60.1;28.6;12.8;0.5;;;
Nutritional values total;720;g;;641.7;13.6;120.1;57.2;25.5;1.1;;;
;;;;;;;;;;;;
FPDF / PAC (target 20..30);28.57;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";15.92%;;;;LOW-FAT;;;;;;;
Milk Solids Non-Fat (MSNF, 7-11%);27.1;g;;3.8%;;;;;;;;
;;;;;;;;;;;;
Process on Sorbet.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
30g Ice Cream Stabilizer (ICSv2) is;"14.3g erythritol, 1.43g Tylose powder (CMC, E466), 
0.5g tara gum (E417), 0.15g xanthan (E415),
14.3g inulin, 0.5g salt.";;;;;;;;;;;
;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Zest from an organic orange;½;peel;1;;;;;;;;;Zest the orange before juicing!
Mandarins in juice [REWE];300.00;g;1;48.00;0.00;11.00;9.00;0.60;0.02;0.09;;
Mango;150.00;g;1;62.00;0.50;13.00;13.00;0.60;0.00;0.13;;
Freshly pressed orange juice;80.00;ml;1;45.00;0.20;10.40;8.40;0.70;0.00;;;
Cream Cheese 23% [Exquisa];50.00;g;1;238.00;22.50;3.00;3.00;5.50;0.70;0.03;9.64;
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml"
Cottage Cheese 4% [REWE Bio];;g;1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;
Coconut milk 22% [REWE Bio];;ml;1;222.00;22.00;4.00;4.00;2.00;0.04;0.04;;
ICSv2 [Erythritol / CMC / Tara / XG / Inulin];30.00;g;2;107.3;0.0;54.7;3.7;0.1;1.7;1.32;;http://bit.ly/4frc4Vj
Whey protein Vanilla [MaxiNutrition];25.00;g;2;392.00;5.80;6.20;5.30;78.00;0.57;0.05;89.20;
Xylitol;25.00;g;2;238.00;;100.00;;;;2.20;;"Sweetness = 100%; GI = 7"
Cream 32% [REWE Beste Wahl];;ml;3;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;
;;;;;;;;;;;;
Water to MAX line;45.00;ml;3;;;;;;;;;
