Peaches & Cream (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;;;
Nutritional values per 100g/ml;100;g;;105.0;4.2;17.4;3.9;3.3;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;357.0;14.2;59.2;13.4;11.3;0.7;;;;;
Nutritional values total;686;g;;720.3;28.7;119.5;26.9;22.7;1.5;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.13;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";12.61%;;;;;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);28.3;g;;4.1%;;;;;;;;;;
ℹ️ Net carbs;58.6;g;;*∝ 5 servings@137g:* 11.7g;;;*∝ 3 servings@229g:* 19.5g;;;*energy ratio (low <20%):* 32.5%;;;;
;;;;;;;;;;;;;;
"*Peaches & Cream* is a classic ice cream that combines a smooth cream base with naturally sweet peaches.
The flavor is straightforward, familiar, and focused on balancing dairy richness with peach notes in every scoop.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Spin on “Light Ice Cream”, scrape down, and re-mix if needed.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Rating: 😋🐮🍑 (untested);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Soy milk 1.6% (sugar-free) [Berief];250.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;*alternative:* any other preferred milk (~2% fat);;1
Peaches in Grape Juice (drained) [Libby’s];250.00;g;1;53.00;;12.00;9.00;0.50;;;;Can = 410g;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;*alternative:* 12g (additional) VG for a sober recipe;50.00;1
Brandy or Vodka 40 vol%;10.00;g;1;280.00;;;;;;2.96;;*alternative:* same amount additional VG for a sober recipe;;1
SweEX (Erythritol + Xylitol 3:2);40.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 53g allulose or dextrose;100.00;1
Waxy Maize Starch (E1442) [Ultratex];15.00;g;2;391.00;0.15;97.00;0.00;0.50;0.50;;;*alternative:* [E1422](https://jhermann.github.io/ice-creamery/info/ingredients/#acetylated-distarch-adipate-e1422);;1
Whey + Casein protein (grass-fed) [Vilgain];15.00;g;2;384.00;4.60;5.70;5.60;80.00;0.50;0.06;90.40;with stevia;;1
Inulin [Vit4ever];15.00;g;2;210.00;;97.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0";89.00;1
Salt;1.00;g;2;;;;;;100.00;5.90;;;;1
❔Turmeric;1.00;pinch;2;;;;;;;;;*optional*, for color;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Cream 32% [REWE Beste Wahl];75.00;ml;3;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;;;1
Flavor drops Peach / Maracuja (sucralose) [IronMaxx];≈3;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Amarettini [REWE/Gadeschi];;g;4;416.00;6.20;82.00;65.00;6.50;0.25;;;"10 pcs = 13.8g; add as a topping or mix-in [0kcal, 0g sugar]";;
Amaretto 28 vol%;;g;1;282.00;;30.00;30.00;;;2.93;;;;1
Anatto Seed Powder [Naturix24];;g;2;144.00;2.00;28.00;;6.00;;;;*optional*, for color;;1
Apple Juice;;ml;1;51.00;0.00;11.81;10.97;0.00;0.01;0.11;;;;1
Apple Sauce (no added sugar) [Gut Bio/Aldi];;ml;1;52.00;0.50;12.00;10.00;0.50;0.01;0.10;;1 jar = 355g;;1
Apricots (canned) [Del Monte];;g;1;60.00;0.00;14.00;12.00;0.40;0.07;0.12;;;;1
Aquafaba (chickpea liquid);;ml;1;30.00;0.50;3.00;0.50;1.00;0.01;;;;;1
Avocado oil (extra virgin) [Hunter & Gather];;ml;1;819.00;91.00;;;;;;;;;1
Avocado pulp (fresh);;g;1;160.00;15.00;8.50;0.70;2.00;0.01;;;~73% water;;1
Azuki Beans (小豆 organic red beans) [Rapunzel];;g;0;304.00;1.20;42.00;3.10;23.00;0.02;;;;;1
Bamboo Fibre [EWL];;g;2;199.00;0.40;0.10;0.10;0.20;0.10;;;97.5% fiber;;1
Bananas (peeled);;g;1;108.00;0.60;21.50;16.00;1.22;0.03;0.16;;;;1
Batida de Côco 16 vol% [Mangaroca];;g;1;238.00;0.50;29.00;16.00;2.40;;1.66;;1 bottle = 700ml;;1
Beet Root Powder (organic) [Mandoi];;g;2;347.00;1.00;70.00;46.00;14.10;0.10;;;*optional*, for color;;1
Biscoff “Lotus” cookies [Aldi];;g;4;484.00;19.00;72.60;38.10;4.90;0.92;0.38;;1pc = 7.8g;;
Black sesame seeds, roasted [Emma Basic];;g;4;597.00;51.00;2.50;1.10;25.00;0.00;;;Mix-in for a full tub (2 servings);;
Blueberries (canned) [REWE];;g;1;82.00;0.50;16.20;16.20;0.50;0.00;0.16;;;;1
Blueberries (frozen);;g;1;48.00;0.40;9.10;8.90;0.40;0.00;0.09;;;;1
Blueberry powder [Bio Leis];;g;2;360.00;5.10;60.10;51.10;5.10;0.02;0.51;;;;1
Butter;;g;1;731.00;82.00;0.80;0.80;0.60;0.03;;;;;1
Buttercookies [Leibniz/Bahlsen];;g;4;435.00;12.00;72.00;21.00;8.40;1.50;;;1 cookie = 5g;;
Buttermilk 1% [REWE];;ml;1;35.00;0.50;4.00;4.00;3.50;0.15;0.04;8.50;;;1
Cacao nibs;;g;2;;;;;;;;;;;1
Candied Lemon Peel;;g;1;321.00;0.30;78.00;77.00;0.10;0.50;0.10;;;;1
Candied Orange Peel;;g;1;314.00;0.50;76.00;76.00;0.50;0.63;0.10;;;;1
Cantuccini (organic, with dinkel) [dm Bio];;g;4;444.00;18.00;59.00;26.00;9.40;0.16;0.26;;"150g bag; 1pc ~5g";;
Carboxymethyl Cellulose (CMC / E466) [GoodBake];;g;2;175.00;;75.00;;;1.00;;;;100.00;1
Carob powder (organic) [Rapunzel];;g;2;302.60;0.50;51.60;31.70;5.00;0.02;0.32;;Low-fat cacao substitute;;1
Casein (unflavored) [Bulk];;g;2;356.00;0.70;5.50;2.70;82.00;0.15;0.03;;;;1
Cashew  milk 1.1% (low-sugar) [alpro];;ml;1;23.00;1.10;2.60;2.00;0.50;0.13;;;;;1
Cashew nuts (organic) [Biojoy];;g;5;603.00;48.30;16.10;5.70;20.70;0.00;0.06;;add as a topping [0kcal, 0g sugar];;
Chartreuse jaune 43 vol%;;g;1;370.00;;30.60;30.60;;;3.49;;;;1
Chartreuse verde 55 vol%;;g;1;400.00;;22.50;22.50;;;4.30;;;;1
Cherries;;g;1;61.00;0.10;13.60;9.60;0.90;0.00;0.10;;;;1
Cherries, Sour (dried, pitted) [Biojoy];;g;1;295.00;0.22;66.60;57.40;3.40;0.03;0.57;;≈20% water remaining;;1
Chia seeds [Mr. Brown];;g;2;444.00;31.10;4.50;0.80;21.20;0.03;;;;;1
Chickpeas (organic);;g;1;420.00;0.30;15.40;1.00;5.90;0.60;;;can:  258/400g;;1
Chicory syrup [Vilgain];;ml;4;162.00;;6.00;6.00;;;;;69% fiber (inulin);;
Cinnamon (Ceylon);;g;2;;;;;;;;;"to taste; 1tsp = 3g";;1
Citric Acid;;g;2;391.00;0.15;97.00;0.00;0.50;0.50;;;0.5–1g ≈ 15ml lemon juice;;1
Cocoa Noir Intense 11% [Cacao Barry];;g;0;310.46;11.00;13.00;0.50;22.00;4.10;-1.30;;intense, tart cocoa flavour;;1
Cocoa Powder 21% [Bensdorp Premium];;g;0;366.00;21.00;8.90;0.60;20.00;0.10;-1.60;;;;1
Cocoa Powder 21% [cebe];;g;0;358.00;20.70;8.80;0.50;19.80;0.08;-1.60;;;;1
Cocoa Powder Organic 11% [Sevenhills];;g;0;367.00;11.00;26.80;0.90;28.00;0.05;-1.30;;;;1
Coconut flakes (desiccated) [Biojoy];;g;0;660.00;63.00;6.40;6.40;6.20;0.08;0.06;;;;1
Coconut Milk (unsweetened) [Thai Kitchen];;ml;1;150.00;15.00;1.25;1.25;0.90;0.00;;;US brand;;1
Coconut Milk 22% [REWE Bio];;ml;1;222.00;22.00;4.00;4.00;2.00;0.04;0.04;;;;1
Coconut Milk Powder 54% [Green Essence];;g;2;640.00;55.00;40.25;1.25;6.25;0.13;;46.50;;;1
Coconut Oil;;ml;1;828.00;92.00;0.50;0.50;0.50;0.01;-0.90;;;;1
Coconut Oil (deodorized);;ml;5;890.00;99.00;;;;;;;;;
Coffee (instant);;g;2;118.00;0.20;3.10;3.10;7.00;0.25;;;;;1
Coffee Liqueur 25 vol% [Caffè Borghetti];;g;1;240.00;0.00;23.00;23.00;0.00;;2.08;;1 bottle = 700ml;;1
Cointreau 40 vol%;;g;1;335.00;;26.10;26.10;;;3.22;;1 bottle = 70cl;;1
Condensed milk, sweetened;;ml;1;322.00;8.00;55.00;55.00;7.50;0.25;0.55;20.00;;;1
Condensed milk, sweetened (SCM) [Dovgan];;ml;1;325.00;8.00;56.40;56.40;6.90;0.23;0.56;20.00;;;1
Corn starch;;g;0;353.00;0.50;86.00;0.50;0.50;0.01;;;;;1
Cottage Cheese 4% (creamed, US/CA);;g;1;104.00;4.30;3.40;2.70;11.00;0.36;0.03;17.20;;;1
Cottage Cheese 4% [REWE Bio];;g;1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;;;1
Cranberries (sugared) [dm bio];;g;4;322.00;1.00;74.00;60.00;0.80;0.01;;;chopped [0kcal, 0g sugar];;1
Cream 11% (half&half);;ml;1;131.00;11.50;4.30;4.10;3.10;0.15;0.04;8.23;;;1
Cream 18% (crème légère);;ml;1;193.00;18.20;3.70;3.70;3.50;0.11;0.04;7.61;;;1
Cream 37% (heavy);;ml;3;353.00;37.00;2.90;2.90;2.00;0.10;0.03;5.86;;;1
Cream 48% (double cream);;ml;3;445.00;48.00;2.60;2.60;1.70;0.10;0.03;4.84;;;1
Cream Cheese 23% [Exquisa];;g;1;238.00;22.50;3.00;3.00;5.50;0.70;0.03;9.64;click the link for UK / US equivalents;;1
Crème double 42%;;ml;3;398.00;42.00;3.00;3.00;2.20;0.10;0.03;5.39;;;1
Croissants (“Mini Butter”) [REWE/Ölz];;g;4;358.00;11.00;56.00;13.00;7.60;1.10;;;1pc = 25g;;
Dark chocolate 70% (intensive) [Lindt];;g;4;566.00;41.00;35.00;30.00;9.50;0.02;-0.07;;Portion = 20g;;
Dark chocolate 70% (mild) [Lindt];;g;4;610.00;48.00;33.00;29.00;6.90;0.01;-0.14;;Portion = 20g;;
Dark chocolate 70% [Moser-Roth/Aldi];;g;4;578.00;42.00;34.00;28.00;9.50;0.02;-0.10;;Portion = 25g;;
Dark chocolate 85% [Moser-Roth/Aldi];;g;4;604.00;50.00;20.00;14.00;11.00;0.24;-0.31;;Portion = 25g;;
Dark chocolate 90% [Moser-Roth/Aldi];;g;4;645.00;57.00;15.00;8.80;11.00;0.02;-0.43;;Portion = 25g;;
Dark chocolate shavings [Ruf];;g;4;506.00;27.60;53.80;47.50;6.40;0.00;;;[0kcal, 0g sugar];;
Designer Flavor Powder [ESN];;g;2;285.00;5.60;25.00;19.00;1.80;0.11;0.19;;≈70% inulin;6.00;1
Dextrose;;g;2;350.00;;100.00;100.00;;;1.90;;POD 70%;;1
Dinke flour 630 (organic) [REWE Bio];;g;2;344.00;1.30;69.00;0.60;12.00;;;;or any cake flour;;1
Dragon Fruit (freeze dried) [Zingy Zoo];;g;2;393.00;5.30;78.60;53.60;7.10;0.00;0.54;;for color;;1
E471 (Mono 60) [Saporepuro];;g;2;884.00;98.00;;;;;;;Mono- and diglycerides of fatty acids (emulsifier);;1
Egg Cream Punch 9 vol% [Katlenburger];;g;1;84.00;1.60;4.50;3.00;0.80;;0.87;;1 bottle = 750ml;;1
Egg Liqueur 15 vol% [Bols Advocaat];;g;1;85.00;6.80;27.00;27.00;1.00;0.00;1.68;;1 bottle = 700ml;;1
Egg whites;;g;1;131.00;9.00;;;12.60;0.39;;;;;1
Eggs;;g;1;153.00;11.00;0.60;0.40;13.00;0.32;;;1 medium egg 55–60g;;1
Erythritol (E968);;g;2;24.00;0.00;100.00;0.00;0.00;0.00;2.80;;POD = 75%;100.00;1
Ethanol 97.5%;;g;1;682.00;;;;;;5.70;;;;1
Evaporated milk 10% [Milsani/Aldi];;ml;1;175.00;10.00;13.00;13.00;7.90;0.43;0.13;21.34;Tetrapack 340g;;1
Evaporated milk 7.5% [Pilos/Lidl];;ml;1;132.00;7.50;10.20;10.20;7.60;0.28;0.10;17.21;Tetrapack 340g;;1
Fir honey [Bihophar];;g;1;338.00;;84.00;58.00;0.10;0.19;1.46;;;;1
Flavor drops “Natural” (stevia) [Nick’s];;drops;1;;;;;;;;;to taste • unflavored;;
Flavor drops Caramel (sucralose) [IronMaxx];;drops;1;;;;;;;;;to taste;;
Flavor drops Cookies&Cream (stevia) [Nick’s];;drops;1;;;;;;;;;to taste;;
Flavor drops Strawberry (sucralose) [IronMaxx];;drops;1;;;;;;;;;to taste;;
Flavor drops Vanilla (sucralose) [IronMaxx];;drops;1;;;;;;;;;to taste;;
Fruit spead 75% “Plum” [dm/Allos];;g;5;123.00;0.50;29.00;27.00;0.50;0.06;;;"spread with 75% fruit; add as a mix-in or topping [0kcal, 0g sugar]";;
Früli Belgian Strawberry Beer 4.1 vol% (0.33l);;ml;1;50.00;;6.60;6.00;;;0.44;;;;1
Galia melon (organic);;g;1;26.00;0.10;5.60;5.60;0.50;0.08;0.06;;1 melon = 1.3kg, 60–70% yield;;1
Gelatin powder;;g;2;357.00;;;;84.40;0.04;;;;;1
Gin 40 vol% (Spanish) [Larios];;g;1;221.00;;;;;;2.96;;Bottle = 70cl;;1
Glycerol Monostearate (E471) [Bulk];;g;2;415.00;;;;;;;;*alternative:* lecithin;;1
Goji berries dried [Happy Belly];;g;4;395.00;0.40;77.10;45.60;14.30;0.75;;;Mix-in for a full tub (2 servings);;
Grape Juice;;ml;1;64.00;;15.90;15.50;0.15;0.07;0.16;;;;1
Grappa 40 vol% [Sibona];;g;1;230.00;;1.30;1.30;;;2.97;;Bottle = 50cl;;1
Greek Yogurt 9% [Lyttos];;g;1;113.00;9.20;3.80;3.80;3.20;0.13;0.04;7.91;;;1
Greek Yogurt Vanilla 0% [Dannon Light+Fit];;g;1;54.00;0.00;6.00;4.70;8.00;0.03;0.05;15.57;;;1
Guar gum (E412);;g;2;180.00;0.60;84.00;0.00;5.50;0.30;;;;;1
Guava paste (Goiabada Poli) [Predilecta];;g;1;344.00;0.00;86.00;69.00;0.00;0.01;0.69;;;;1
Gum Arabic (Acacia, E414) [SaporePuro];;g;2;180.00;0.00;0.00;0.00;2.50;0.90;;;85% fiber;;1
Hazelnut Flavor Powder [He Ju];;g;2;249.00;3.30;17.00;11.50;3.40;0.16;0.12;;;;1
Hemp hearts (organic, shelled) [alnatura];;g;2;630.00;52.00;5.40;1.80;32.00;0.02;;;;;1
Hemp hearts (organic, shelled) [Sevenhills];;g;2;610.00;51.20;5.30;2.20;31.00;0.01;;;;;1
Hemp protein powder (organic) [Sevenhills];;g;2;349.00;9.00;7.40;4.90;48.30;0.10;0.05;;48% protein, 23% fiber, 9% fat, 5% sugar;;1
Hokkaido pumpkin (organic) [REWE];;g;1;28.00;0.00;4.60;3.90;1.10;0.01;0.04;;450g frozen;;1
Hokkaido pumpkin puree (organic) [REWE];;g;1;63.00;0.30;10.90;4.90;1.90;0.10;0.05;;425g can;;1
Hon mirin 14 vol% [Fiico];;g;1;275.00;;49.00;40.00;0.50;0.50;1.71;;;;1
Honey;;g;1;286.00;0.00;81.00;76.20;;;1.56;;;;1
ICS [Erythritol / CMC / Tara / XG];;g;2;23.00;;93.60;;0.10;3.30;2.33;;;;1
ICSv2 [Erythritol / Inulin / CMC / Guar / XG / Salt];;g;2;107.2;0.0;95.5;3.7;0.1;1.7;1.32;;http://bit.ly/4frc4Vj;90.80;1
Instant Coffee [Mount Hagen];;g;2;0.00;;;;;;;;1.5g per 125ml;;1
Instant Drink “Woodruff” (0 sugar) [Instick];;g;2;383.00;0.00;96.00;7.70;0.00;0.02;1.29;;1 stick (2.5g) for 500ml water;;1
Instant Espresso (organic) [Mount Hagen];;g;2;0.00;;;;;;;;2.5g per 60ml • 1 jar = 50g;;1
Inulin [Vit4ever];;g;2;210.00;;97.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0";89.00;1
Inulin HP [Saporepuro];;g;2;194.00;;0.50;0.50;;;0.10;;;;1
Irish Cream 17 vol% [Baileys];;g;1;314.00;13.60;21.70;18.00;2.80;0.00;1.77;;1 bottle = 700ml;;1
Isomalt (E953) [GoodBake];;g;2;236.00;;98.00;;;;0.39;;Very low GI, 50% sweetness;50.00;1
Jamaica Rum 43 vol%;;g;1;300.00;;;;;;3.18;;;;1
Kefir mild 1.5% [Milsani / Aldi];;g;1;47.00;1.50;4.10;4.10;3.20;0.12;0.04;7.50;500g container;;1
Kiwi;;g;6;52.00;0.70;8.80;8.60;0.90;0.00;0.09;;fresh [0kcal, 0g sugar];;
Konjac (E425, 97% glucomannan) [Vita2You];;g;0;10.00;;97.00;0.00;;;;;;;1
Lactose [Sunlife];;g;2;380.00;0.00;95.00;95.00;0.10;0.00;0.95;95.00;;;1
Le Sirop de Monin “Falernum”;;ml;1;315.00;;78.30;78.20;;0.03;0.78;;1 bottle = 70cl;;1
Lecithin (Soy) [My Lecithin];;g;2;760.00;91.00;9.00;5.00;0.30;0.05;;;;;1
Lemon juice;;ml;1;25.00;0.10;3.36;1.65;0.30;0.01;0.02;;;;1
Light corn syrup (32 DE) [Karo];;ml;1;400.00;;100.00;33.00;;0.25;0.61;;US brand;;1
Lime juice + zest (organic) [REWE Bio];;ml;1;25.00;0.10;8.40;1.70;0.40;;;;1 lime = 60..65g;;1
Limoncello di Calabria 28 vol% [REWE];;g;1;261.00;0.00;26.60;26.60;0.00;;2.34;;1 bottle = 700ml;;1
Limoncello RAVINI Crema 17 vol% 500ml [Aldi];;g;1;99.00;7.00;25.00;25.00;1.00;0.00;1.84;;;;1
Lingonberry powder [Bio Leis];;g;2;351.00;2.30;78.80;72.50;3.70;0.01;0.73;;;;1
Maltitol (E965);;g;2;241.00;;99.50;;;;0.10;;"POD ≈ 85%; GI = 35";50.00;1
Maltodextrin (18 DE);;g;2;383.00;0.00;96.00;7.70;0.00;0.02;1.29;;"POD 15%; GI ~= 120";;1
Mandarins in juice [REWE];;g;1;48.00;0.00;11.00;9.00;0.60;0.02;0.09;;;;1
Mango;;g;1;62.00;0.50;13.00;13.00;0.60;0.00;0.13;;;;1
Mascarpone 42% [Galbani];;g;1;412.00;41.50;4.80;4.50;4.80;0.08;;10.38;;;1
