Peanut Butter • Vegan (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;102.0;5.5;9.4;0.4;6.8;0.3;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;346.7;18.6;31.9;1.2;23.3;1.1;;;;;
Nutritional values total;680;g;;693.3;37.1;63.8;2.4;46.5;2.1;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.31;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";26.85%;;;;;;Low-Sugar;Hi-Protein;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);40.2;g;;5.9%;;;;;;;;;;
ℹ️ Net carbs;16.3;g;;*∝ 5 servings@136g:* 3.3g;;;*∝ 3 servings@227g:* 5.4g;;;*energy ratio (low <20%):* 9.4%;;;;
> 🌿 **Vegan & Dairy-free**<br />Recipe is using only soy milk.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Process on Lite Ice Cream.

Rating: 😋 (untested)

**Topping & mix-in options**

 * [Dark chocolate flakes](../../T/Toppings/#dark-chocolate-flakes-mix-in)
 * [Roasted peanuts](../../T/Toppings/#chopped-nuts) (chopped)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Put peanut butter into the empty tub and soften in the microwave (10–15s).
 1. Add all ‘wet’ ingredients and blend with an immersion blender.";;;;;;;;;;;;;;
1. Before freezing, let it rest in the fridge for at least 2 hours.;;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Peanut butter (creamy, organic) [REWE Bio];50.00;g;0;604.00;51.10;7.30;4.50;24.70;0.43;;;250g glass jar;;1
Soy milk 1.6% (sugar-free) [Berief];450.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Brandy or Vodka 40 vol%;10.00;g;1;280.00;;;;;;2.96;;alternatives: 8g more glycerin;;1
PB powder [Fitmeals];;g;2;387.00;14.00;30.00;6.00;50.00;0.00;0.06;;;;1
Soy protein isolate (nature) [Powerstar];20.00;g;2;372.00;1.00;1.00;0.00;89.80;2.50;;93.00;"alternative: any unflavored or vanilla protein powder; 1kg bag, unsweetened, unflavored";;1
SweEX (Erythritol + Xylitol 3:2);40.00;g;2;109.60;;100.00;;;;2.56;;"alternatives: 55g allulose or dextrose; POD ≈ 90%; GI < 7";100.00;1
Salt;1.00;g;2;;;;;;100.00;5.90;;;;1
Lecithin (Soy) [My Lecithin];3.00;g;2;760.00;91.00;9.00;5.00;0.30;0.05;;;;;1
;;;;;;;;;;;;;;
Soy milk 1.6% (sugar-free) [Berief];91.00;ml;3;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;make blending easier by splitting the milk;;1
Flavor drops Vanilla (sucralose) [IronMaxx];≈3;drops;3;;;;;;;;;"to taste; or use maple syrup";;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
