Pumpkin Spice Gelato (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;106.5;5.9;12.6;1.9;4.9;0.3;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;362.2;19.9;42.8;6.3;16.8;0.9;;;;;
Nutritional values total;690;g;;735.1;40.4;87.0;12.8;34.1;1.8;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.57;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";18.56%;;;;;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);53.0;g;;7.7%;;;;;;;;;;
ℹ️ Net carbs;26.1;g;;*∝ 5 servings@138g:* 5.2g;;;*∝ 3 servings@230g:* 8.7g;;;*energy ratio (low <20%):* 14.2%;;;;
;;;;;;;;;;;;;;
"This pumpkin spice ice cream is a high-protein, dairy-light treat built for creamy texture and balanced nutrition.

Inspired by [this Polar Ice Creamery video](https://www.youtube.com/watch?v=liA8HlIivC4).";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Spin on “Light Ice Cream”, scrape down, and re-mix if needed.

Rating: 😋 (untested)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Heat the soy milk to about 60°C.
 1. Whisk in the dry ingredients, after blending them together first.
 1. Add the other ‘wet’ ingredients and blend to emulsify.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Soy milk 1.6% (sugar-free) [Berief];475.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;use any other preferred milk (~2% fat);;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;;50.00;1
Brandy or Vodka 40 vol%;8.00;g;1;280.00;;;;;;2.96;;*alternative:* 6g (additional) VG for a sober recipe;;1
SweEX (Erythritol + Xylitol 3:2);40.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 53g allulose or dextrose;100.00;1
Inulin [Vit4ever];15.00;g;2;210.00;;97.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0";89.00;1
Skim milk powder 1:10 (SMP) [Vita2You];15.00;g;2;358.00;0.97;50.50;50.50;35.00;1.00;0.51;94.03;;;1
Whey + Casein protein (grass-fed) [Vilgain];15.00;g;2;384.00;4.60;5.70;5.60;80.00;0.50;0.06;90.40;with stevia;;1
Glycerol Monostearate (E471) [Bulk];2.00;g;2;415.00;;;;;;;;*alternative:* lecithin;;1
Pumpkin spice;2.00;g;2;;;;;;;;;21g cinnamon, 5g ginger, 4g nutmeg, 3g cloves, 2g allspice;;1
Guar gum (E412);1.50;g;2;180.00;0.60;84.00;0.00;5.50;0.30;;;;;1
Xanthan gum (E415, XG);0.50;g;2;320.00;;78.00;;6.00;1.00;;;1tsp ≈ 2.8g;;1
Salt;1.00;g;2;;;;;;100.00;5.90;;;;1
;;;;;;;;;;;;;;
Cream 32% [REWE Beste Wahl];100.00;ml;3;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;;;1
Flavor drops Vanilla (sucralose) [IronMaxx];≈4;drops;3;;;;;;;;;to taste;;
