R-ice Cream (Deluxe);;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;g;;101.8;2.8;18.3;1.8;2.4;0.3;;;
Nutritional values per ½ Deluxe Tub;360;g;;366.6;10.0;65.8;6.5;8.8;1.2;;;
Nutritional values total;714;g;;727.1;19.9;130.5;12.8;17.4;2.4;;;
;;;;;;;;;;;;
FPDF / PAC (target 20..30);29.72;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";9.58%;;;;LOW-FAT;;Low-Sugar;;;;;
Milk Solids Non-Fat (MSNF, 7-11%);23.1;g;;3.2%;;;;;;;;
;;;;;;;;;;;;
Milk rice gelato, inspired by https://youtu.be/9naNqC0I6g0 from *Polar Ice Cream*.;;;;;;;;;;;;
;;;;;;;;;;;;
" 1. Wash the rice in a sieve, and cook it on medium heat until very soft (~30min), together with the other ‘prep’ ingredients.
 1. Add ""wet"" ingredients and the cooked rice to empty Creami tub.";;;;;;;;;;;;
;;;;;;;;;;;;
"Process on Lite Ice Cream.

Rating: 😋 (untested)";;;;;;;;;;;;
30g Ice Cream Stabilizer (ICSv2) is;"14.3g erythritol, 1.43g Tylose powder (CMC, E466), 
0.5g tara gum (E417), 0.15g xanthan (E415),
14.3g inulin, 0.5g salt.";;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Almond milk (unsweetened) [REWE Bio];300.00;ml;0;19.00;1.70;0.00;0.00;0.80;0.15;;;with guar gum (<1.5g)
Paella Rice (Bomba) [Santo Tomas];75.00;g;0;344.00;0.68;76.90;0.21;7.00;0.01;;;"Wash the rice; can use any short grain rice"
Xylitol;40.00;g;0;238.00;;100.00;;;;2.20;;"POD = 100%; GI = 7"
Cinnamon (Ceylon);3.00;g;0;;;;;;;;;1tsp = 3g
Salt;1.00;g;0;;;;;;100.00;5.90;;
Skim Milk 1.5% [Weihenstephan];200.00;ml;1;47.00;1.50;4.90;4.90;3.50;0.11;0.05;9.16;
Cream Cheese 23% [Exquisa];50.00;g;1;238.00;22.50;3.00;3.00;5.50;0.70;0.03;9.64;
Glycerin (E422, VG) [hd-line];10.00;g;1;400.00;;99.00;;;;3.70;;"POD = 60%; GI = 5; Density = 1.26 g/ml"
Brandy “Williams Birne” 40 vol%;10.00;g;1;280.00;;;;;;2.96;;
Flavor drops Cookies&Cream [Nick’s];5.00;drops;1;;;;;;;;;with stevia
ICSv2 [Erythritol / CMC / Tara / XG / Inulin];20.00;g;2;107.3;0.0;54.7;3.7;0.1;1.7;1.32;;http://bit.ly/4frc4Vj
Vanilla Bean Powder [InterVanilla];5.00;g;2;288.00;0.10;13.00;13.00;0.00;0.00;;;
Cream 32% [REWE Beste Wahl];;ml;3;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;
