Salt & Straw Base (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;228.1;14.0;22.6;18.1;3.1;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;775.4;47.6;76.7;61.5;10.5;0.8;;;;;
Nutritional values total;687;g;;1565.6;96.1;154.9;124.2;21.2;1.6;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);26.73;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";5.41%;;;;;;;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);49.4;g;;7.2%;;;;;;;;;;
ℹ️ Net carbs;149.9;g;;*∝ 5 servings@137g:* 30g;;;*∝ 3 servings@229g:* 50g;;;*energy ratio (low <20%):* 38.3%;;;;
;;;;;;;;;;;;;;
"Salt & Straw's base, scaled to ~600g, 16% fat and 18.6% sugar.

Example recipe flavored with strawberries (fresh/frozen + freeze-dried).
The listed macros include those additions, reducing the fat percentage to 14%.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Cream 32% [REWE Beste Wahl];275.00;g;1;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;;;1
Milk 3.5% [Weihenstephan];200.00;g;1;64.00;3.50;4.70;4.70;3.50;0.13;0.05;8.97;;;1
Light corn syrup (32 DE) [Karo];30.00;g;1;400.00;;100.00;33.00;;0.25;0.61;;"US brand; *alternative:* rice or maple syrup";;1
Sugar;75.00;g;2;387.00;;100.00;100.00;;;1.00;;;;1
Skim milk powder 1:10 (SMP) [Vita2You];15.00;g;2;358.00;0.97;50.50;50.50;35.00;1.00;0.51;94.03;;;1
Salt;0.75;g;2;;;;;;100.00;5.90;;;;1
Xanthan gum (E415, XG);0.75;g;2;320.00;;78.00;;6.00;1.00;;;1tsp ≈ 2.8g;;1
;;;;;;;;;;;;;;
Strawberries;60.00;g;3;31.00;0.40;5.80;5.70;0.80;0.00;0.06;;;;1
Strawberry powder [Supergarden];20.00;g;3;287.00;3.70;50.90;50.60;7.60;0.00;0.51;;;;1
Glycerin (E422, VG) [hd-line];10.00;g;3;400.00;;99.00;;;;3.70;;"POD = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
