Salty Stability;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;;;;
Nutritional values per 100g/ml;100;g;;234.5;0.0;91.2;6.7;0.3;3.5;0.06;;;;
Nutritional values per dose;15;g;;35.2;0.0;13.7;1.0;0.0;0.5;0.06;;;;
Nutritional values total;150;g;;351.7;0.0;136.9;10.0;0.5;5.3;0.06;;;;
;;;;;;;;;;;;;;
FPDF;0.27;;;;;;;;;;;;;
FPDF (w/o salt);0.06;;;;;;;;;;;;;
Servings (Deluxe);10.00;;;;;;;;;;;;;
ℹ️ Net carbs;25.6;g;;*∝ 10 servings@15g:* 2.6g;;;;;;;;;;
;;;;;;;;;;;;;;
"> *Unsweetened* pre-mixed stabilizer for Ninja Creami recipes.

It takes handling small amounts of ingredients and their ratio to each other 
out of the process of mixing your final ice cream base,
making the overall process less finicky.

Use 15g of the mix for a Creami Deluxe tub (24oz, yields 10),
and 10g for the regular size (16oz, yields 15).

The salt is added for convenience with final recipes,
and for a FPDF boost. Inulin bulks up the mix to be compatible with normal kitchen scales.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Weigh and mix dry ingredients, easiest by adding to a jar with a secure lid and shaking vigorously.
 1. Store in an air-tight container with enough volume.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;0carbs:;81.3;%;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];
Inulin [Vit4ever];125.00;g;2;210.00;;97.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0";89.00;1
Carboxymethyl Cellulose (CMC / E466) [GoodBake];12.00;g;2;600.00;;75.00;;;;;;;;1
Guar gum (E412);6.00;g;2;180.00;0.60;84.00;0.00;5.50;0.30;;;;;1
Salt;5.00;g;2;;;;;;100.00;5.90;;;;1
Xanthan gum (E415, XG);2.00;g;2;320.00;;78.00;;6.00;1.00;;;1tsp ≈ 2.8g;;1
