Shregg (Deluxe);;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;g;;64.3;2.8;8.3;7.3;5.9;0.2;;;
Nutritional values per ½ Deluxe Tub;360;g;;231.6;10.2;29.8;26.5;21.2;0.6;;;
Nutritional values total;720;g;;463.1;20.4;59.6;52.9;42.4;1.2;;;
;;;;;;;;;;;;
FPDF / PAC (target 20..30);31.43;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";36.59%;;;;LOW-FAT;;;Hi-Protein;;;;
Milk Solids Non-Fat (MSNF, 7-11%);27.9;g;;3.9%;;;;;;;;
;;;;;;;;;;;;
Egg liqueur ice cream.;;;;;;;;;;;;
;;;;;;;;;;;;
Process on SORBET.;;;;;;;;;;;;
;;;;;;;;;;;;
"You can also use Baileys at 17 vol%, which bumps up
the energy to ~125 kcal.
And I’d use 3g GMS due to higher fat content.

When using egg-nog, check the label for the alcohol content;
some brands go above 20 vol%, which will make this recipe come out too soft.
“Kirkland Signature” has 14.75 vol%, which fits perfectly.";;;;;;;;;;;;
;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Water;;ml;1;;;;;;;;;
Skim Milk 1.5% [Weihenstephan];;ml;1;47.00;1.50;4.90;4.90;3.50;0.11;0.05;9.16;
Soy milk 1.6% (sugar-free) [Berief];450.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;;
Egg Liqueur 15 vol% [Bols Advocaat];190.00;ml;1;85.00;6.80;27.00;27.00;1.00;0.00;1.15;;1 bottle = 700ml
Cream Cheese 23% [Exquisa];;g;1;238.00;22.50;3.00;3.00;5.50;0.70;0.03;9.64;
Flavor drops Vanilla [IronMaxx];10.00;drops;1;;;;;;;;;with sucralose
Soy protein isolate (nature) [Powerstar];30.00;g;2;372.00;1.00;1.00;0.00;89.80;2.50;;93.00;1kg bag, unsweetened, unflavored
Inulin [Vit4ever];20.00;g;2;210.00;0.00;8.00;8.00;0.00;0.20;0.09;;"Sweetness = 8%; GI ~= 0"
Xylitol;;g;2;238.00;;100.00;;;;2.20;;"Sweetness = 100%; GI = 7"
Glycerol Monostearate (E471) [Bulk];2.00;g;2;415.00;;;;;;;;
Tylose powder (E466, Tylo, CMC);2.00;g;2;143.00;0.00;75.00;0.00;0.00;0.00;;;
Tara gum (E417);1.00;g;2;185.00;0.31;87.00;0.00;2.26;0.00;;;
;;;;;;;;;;;;
Irish Cream 17 vol% [Baileys];;ml;1;314.00;13.60;21.70;18.00;2.80;0.00;1.17;;1 bottle = 700ml
;;;;;;;;;;;;
Water to MAX line;25.00;ml;3;;;;;;;;;Use cream instead for more richness.
