Soda Pop Sorbet (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;37.4;0.1;9.6;0.2;1.9;0.3;;;;;
Nutritional values per ½ Deluxe Tub;360;g;;134.6;0.4;34.7;0.8;6.8;1.0;;;;;
Nutritional values total;720;g;;269.2;0.9;69.3;1.5;13.6;2.1;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);29.79;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";20.22%;;;LOW-CAL;LOW-FAT;;Low-Sugar;Hi-Protein;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);14.0;g;;1.9%;;;;;;;;;;
ℹ️ Net carbs;14.6;g;;*∝ 5 servings@144g:* 2.9g;;;*∝ 3 servings@240g:* 4.9g;;;*energy ratio (low <20%):* 21.6%;;;;
"Soda sorbet from 0-cal syrup. Works with any 0-sugar soda syrup — increase the recommended dosage by 33%, because ice cream.

> 🌿 **Vegan & Dairy-free**<br />Recipe is using only syrup + lemon juice and no dairy.
";;;;;;;;;;;;;;
> ℹ️ This is keto, at 15 net carbs per tub, so 2-5 per serving.;;;;;;;;;;;;;;
"<br clear=all /><br />

> *Processed on Sorbet, followed by a scrape-downand a mix-in run.*
> 
> Rating: 😋😋🥤🥤

> *Served with black sesame seeds, and as a float with 1tsp of vanilla extract and sweetener in sparkling water.*";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
1. Zest the lime first, before juicing it.;;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Water (cold);400.00;ml;1;;;;;;;;;;;1
Soda syrup “afri cola zero” [Sodapop];45.00;ml;1;0.00;0.00;0.00;0.00;0.00;0.01;;;500ml bottle (1:19, yields 10l);;1
Glycerin (E422, VG) [hd-line];20.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Lime juice + zest (organic) [REWE Bio];20.00;ml;1;25.00;0.10;8.40;1.70;0.40;;;;1 lime = 60..65g;;1
Brandy or Vodka 40 vol%;15.00;g;1;280.00;;;;;;2.96;;;;1
Soy protein isolate (nature) [Powerstar];15.00;g;2;372.00;1.00;1.00;0.00;89.80;2.50;;93.00;1kg bag, unsweetened, unflavored;;1
SweEX (Erythritol + Xylitol 3:2);30.00;g;2;109.60;;100.00;;;;2.56;;"POD ≈ 90%; GI < 7";100.00;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];20.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;unsweetened “ICSv2”;73.80;1
Salt;1.00;g;2;;;;;;100.00;5.90;;;;1
;;;;;;;;;;;;;;
Water to MAX line;154.00;ml;3;;;;;;;;;;;1
Flavor drops Peach / Maracuja (sucralose) [IronMaxx];≈4;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
Jul 2, 2025;Add lime zest, less solids, a bit more syrup;;;;;;;;;;;;;
Jul 18, 2025;Use new mixes;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
