Strawberry Cheesecake (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;;;
Nutritional values per 100g/ml;100;g;;116.1;5.8;11.5;3.4;6.2;0.3;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;394.7;19.8;39.3;11.6;21.2;0.9;;;;;
Nutritional values total;678;g;;787.2;39.4;78.3;23.1;42.3;1.8;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);31.72;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";21.49%;;;;;;Low-Sugar;Hi-Protein;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);39.3;g;;5.8%;;;;;;;;;;
ℹ️ Net carbs;33.4;g;;*∝ 5 servings@136g:* 6.7g;;;*∝ 3 servings@226g:* 11.1g;;;*energy ratio (low <20%):* 17%;;;;
"A great combination of various tart flavors,
and a variation of my German cheesecake base, which is made with ‘Quark’ or ‘Topfen’
– think of a cross between yogurt, cottage cheese and ricotta.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Spun on Lite Ice Cream, followed by a scrape-down and a mix-in run.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Serve with graham crackers, shortbread, or plain cookies to stand in for the pie crust.

Rating: 😋😋🥛🍓🍓";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"> 
> *Made with whey / casein protein mix, processed on Sorbet + Respin. Served with chopped cashews and chopped rum-soaked sultanas.*

> 
> *2025-11-10: Processed on FroYo, scrape-down, and mix-in run with white chocolate shavings.*";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Topfen / Quark 14.4% [Berchtesgadener];245.00;g;1;179.00;14.40;3.60;3.60;8.40;0.08;0.04;6.60;"250g container; *US alternative:* low-fat cream cheese";;1
Strawberries;200.00;g;1;31.00;0.40;5.80;5.70;0.80;0.00;0.06;;;;1
Greek Yogurt 9% [Lyttos];;g;1;113.00;9.20;3.80;3.80;3.20;0.13;0.04;7.91;;;1
Soy milk 1.6% (sugar-free) [Berief];125.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;use any other preferred milk (~2% fat);;1
Cottage Cheese 4% [REWE Bio];;g;1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;;;1
Brandy or Vodka 40 vol%;15.00;g;1;280.00;;;;;;2.96;;*alternative:* 12g (additional) VG for a sober recipe;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5";50.00;1
Lemon juice;15.00;ml;1;25.00;0.10;3.36;1.65;0.30;0.01;0.02;;;;1
Topfen / Quark 0.6% [Berchtesgadener];;g;1;70.00;0.60;3.60;3.60;11.90;0.08;0.04;11.40;"250g container; *US alternative:* low-fat cream cheese";;1
Vanilla Extract (w/ alcohol) [Native Vanilla];;ml;1;300.00;;;;;;2.22;;;;1
SweEX (Erythritol + Xylitol 3:2);30.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 40g allulose or dextrose;100.00;1
Whey + Casein protein (grass-fed) [Vilgain];20.00;g;2;384.00;4.60;5.70;5.60;80.00;0.50;0.06;90.40;with stevia;;1
Skim milk powder 1:10 (SMP) [Vita2You];;g;2;358.00;0.97;50.50;50.50;35.00;1.00;0.51;94.03;;;0
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];10.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;*not-as-good substitute:* 1g guar, 0.3g xanthan, and 0.3g salt;73.80;1
Beet Root Powder (organic) [Mandoi];2.00;g;2;347.00;1.00;70.00;46.00;14.10;0.10;;;*optional*, for color;;1
Salt;1.00;g;2;;;;;;100.00;5.90;;;;1
;;;;;;;;;;;;;;
Water, milk, cream, or yogurt to MAX line;;ml;3;;;;;;;;;;;1
Flavor drops Vanilla (sucralose) [IronMaxx];≈3;drops;3;;;;;;;;;to taste;;
Flavor drops Cookies&Cream (stevia) [Nick’s];≈3;drops;3;;;;;;;;;to taste;;
Cream 32% [REWE Beste Wahl];;ml;3;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;;;1
;;;;;;;;;;;;;;
Sultanas (organic) [Biojoy];20.00;g;4;298.00;0.60;68.00;67.00;2.50;0.02;0.67;;add coarsely chopped as a mix-in [60kcal, 13g sugar];;
;;;;;;;;;;;;;;
Graham crackers;3-4;pieces;5;;;;;;;;;;;
Wafers (cream-filled);3-4;pieces;5;;;;;;;;;;;
Biscoff “Lotus” cookies [Aldi];16.00;g;5;484.00;19.00;72.60;38.10;4.90;0.92;0.38;;"1pc = 7.8g; add as a topping [77kcal, 6.1g sugar]";;
Butter cookies [Kägi Toggenburger];18.00;g;5;465.00;15.00;75.00;21.00;7.30;0.60;0.21;;"1pc = 6g; add as a topping [84kcal, 3.8g sugar]";;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
