Strawberry Float;;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;ml;;19.2;0.1;2.3;1.6;0.2;0.1;;;
Nutritional values per serving;354;ml;;67.9;0.4;8.3;5.8;0.8;0.2;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Properties;   ;;;LOW-CAL;LOW-FAT;;Low-Sugar;Hi-Protein;Low-Salt;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
"Very refreshing long-drink for hot summer days 🌞, based on the
[Strawberry Sangria](https://jhermann.github.io/ice-creamery/S/Strawberry%20Sangria%20%28Deluxe%29/) recipe.

Rating: 😋🥤🥤🍓🍓";;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
"1. Put about ⅔ of the water, the sweetener and the syrup into a long-drink glass. Stir.
 1. Carefully put 2 scoops of the sorbet on top.
 1. Fill up with the rest of the water, expect some foaming.
 1. Enjoy!";;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Strawberry Sangria sorbet;100.00;ml;0;56.19;0.38;5.44;3.63;0.75;0.15;;;2 scoops
Sparkling water (fridge cold);250.00;ml;0;0.00;;;;;;;;
Sweetener;2.00;tablets;0;0.00;;;;;;;;equiv. to 2tsp sugar
Pomegranate syrup (nar ekşisi) [fersan];4.00;ml;0;292.00;0.10;71.70;53.40;1.00;0.60;0.53;;1 squeeze
Flavor drops Strawberry (sucralose) [IronMaxx];;drops;0;;;;;;;;;to taste
