Strawberry Sangria (Deluxe);;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;g;;54.8;0.3;5.5;4.0;0.5;0.1;;;
Nutritional values per ½ Deluxe Tub;360;g;;197.4;0.9;19.9;14.3;1.8;0.5;;;
Nutritional values total;720;g;;394.7;1.8;39.8;28.6;3.7;1.1;;;
;;;;;;;;;;;;
FPDF / PAC (target 20..30);32.02;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";3.71%;;;;LOW-FAT;;Low-Sugar;;;;;
Milk Solids Non-Fat (MSNF, 7-11%);0.0;g;;0.0%;;;;;;;;
;;;;;;;;;;;;
"> 🌿 **Vegan & Dairy-free**<br />Recipe is using only fruit and no dairy.

Process on *Sorbet*, [hold it shortly under running water](https://jhermann.github.io/ice-creamery/info/tips%2Btricks/#handling-of-icy-sides-bottom)
*after* that. Then a scrape-down and a respin.

Rating: 😋🍓 (untested)";;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Strawberries;450.00;g;1;31.00;0.40;5.80;5.70;0.80;0.00;0.06;;
Red Wine 13 vol% (dry);200.00;ml;1;85.00;;0.69;0.69;;;0.77;;also works with rosé or white wine
Glycerin (E422, VG) [hd-line];10.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml"
Flavor drops Strawberry (sucralose) [IronMaxx];10.00;drops;1;;;;;;;;;to taste
Erythritol (E968);;g;2;24.00;0.00;100.00;0.00;0.00;0.00;2.80;;POD = 75%
Inulin [Vit4ever];20.00;g;2;210.00;;8.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0"
Xylitol;;g;2;238.00;;100.00;;;;2.20;;"Sweetness = 100%; GI = 7"
Salt;1.00;g;2;;;;;;100.00;5.90;;
Xanthan gum (E415, XG);1.00;g;2;320.00;;78.00;;6.00;1.00;;;
Strawberry powder [Supergarden];;g;2;287.00;3.70;50.90;50.60;7.60;0.00;0.51;;
;;;;;;;;;;;;
Water to MAX line;38.00;ml;3;;;;;;;;;
