Topfenpalatschinken (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;161.9;8.4;17.2;2.8;6.2;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;550.6;28.4;58.5;9.6;21.0;0.8;;;;;
Nutritional values total;723;g;;1170.9;60.4;124.4;20.5;44.6;1.7;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);32.01;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";15.24%;;;;;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);16.2;g;;2.2%;;;;;;;;;;
ℹ️ Net carbs;80.7;g;;*∝ 5 servings@145g:* 16.1g;;;*∝ 3 servings@241g:* 26.9g;;;*energy ratio (low <20%):* 27.6%;;;;
"This ice cream reimagines the classic Austrian “Topfenplataschinken” dessert in frozen form,
blending the creamy tang of quark and lime with some milk to create a rich yet airy base.

Raisins soaked in Jamaica rum provide sweetness and warmth, and serve as a mix-in
together with ribbons of pancake that provide a cake-like tenderness.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Spin on “Lite Ice Cream”, followed by a scrape-down and the mix-in run.

Rating: 😋 (experimental)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Bake the pancakes from the ‘prep’ ingredients in a pan, with a little oil or butter.
 1. Let them cool down, cut into ribbons, store in the fridge as a mix-in.
 1. Chop the raisins, put into a container with lid, cover them with rum, and chill until the next day.
 1. Zest the lime first, *before* juicing it.";;;;;;;;;;;;;;
1. *As a mix-in*, use the soaked raisins (without any remaining fluid) and the pancake stripes.;;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Soy milk 1.6% (sugar-free) [Berief];125.00;ml;0;30.00;1.60;0.90;0.00;3.00;0.08;;;or any low-fat milk;;1
Dinke flour 630 (organic) [REWE Bio];75.00;g;0;344.00;1.30;69.00;0.60;12.00;;;;or any cake flour;;1
Eggs;60.00;g;0;153.00;11.00;0.60;0.40;13.00;0.32;;;1 medium egg 55–60g;;1
Salt;1.00;pinch;0;;;;;;100.00;;;;;
Avocado oil (extra virgin) [Hunter & Gather];15.00;ml;0;819.00;91.00;;;;;;;to fry the pancakes;;1
;;;;;;;;;;;;;;
Topfen / Quark 14.4% [Berchtesgadener];245.00;g;1;179.00;14.40;3.60;3.60;8.40;0.08;0.04;6.60;250g container;;1
Soy milk 1.6% (sugar-free) [Berief];100.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;;or any low-fat milk;;1
Lime juice + zest (organic) [REWE Bio];20.00;ml;1;25.00;0.10;8.40;1.70;0.40;;;;1 lime = 60..65g;;1
Glycerin (E422, VG) [hd-line];10.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
