Candied Buttercookies (Mix-in or Topping);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;358.2;6.8;78.9;22.7;5.1;0.8;;;;;
Nutritional values per serving;15;g;;53.7;1.0;11.8;3.4;0.8;0.1;;;;;
Nutritional values total;90;g;;322.4;6.1;71.0;20.4;4.5;0.8;;;;;
ℹ️ Net carbs;58.5;g;;*∝ 5 servings@18g:* 11.7g;;;;;;;;;;
;;;;;;;;;;;;;;
"Candied buttercookies or graham crackers, glazed with molasses and isomalt.

Isomalt, a sugar alcohol derived from beet sugar, provides a crisp texture and mild sweetness
while maintaining a glossy finish that resists moisture. Its low glycemic index keeps the
sugar added to the cookies in check.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
> ⚠️ Molten isomalt is dangerous and can *severely burn* you, so be vigilant.;;;;;;;;;;;;;;
"1. Preheat your oven to 170°C (340°F).
 1. Drizzle a dollop of molasses on every 2nd cookie, and use the other one in each pair to equally spread it over one side of each cookie.
 1. Pour the isomalt into a small flat container (ideally only a bit larger than the cookies), and coat each cookie with isomalt, using the molasses as the glue.
 1. Put the cookies on a baking sheet covered with parchment paper, or onto a silicone / BBQ mat.
 1. Bake at 170°C for 13–17 minutes, until all crystals are molten.
 1. Let the cookies cool down and harden, check the temperature for below 40°C with an infrared thermometer.
 1. Store in an air-tight container.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Buttercookies [Leibniz/Bahlsen];50.00;g;0;435.00;12.00;72.00;21.00;8.40;1.50;;;1 cookie = 5g;;1
Isomalt (E953) [GoodBake];25.00;g;0;236.00;;98.00;;;;;;5 heaped tsp;50.00;1
Molasses [Grafschafter Goldsaft];15.00;g;0;306.00;0.50;70.00;66.00;2.30;0.03;0.66;;;;1
