Cocover;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;203.0;10.3;15.1;10.1;3.2;0.1;;;;;
Nutritional values total;101;g;;204.5;10.4;15.2;10.2;3.2;0.1;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);38.82;;;;;;;;;;;;;
ℹ️ Net carbs;15.2;g;;;;;;;;;;;;
;;;;;;;;;;;;;;
*/koʊˈkʌvɚ/* – Topping to cover your scoops in coconut flavor.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Combine the dry ingredients in a small bowl, and blend into the wet ones.
Let the flakes hydrate for a few hours in the fridge.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Soy milk 1.6% (sugar-free) [Berief];50.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Batida de Côco 16 vol% [Mangaroca];30.00;ml;1;238.00;0.50;29.00;16.00;2.40;;1.09;;1 bottle = 700ml;;1
Mango;;g;1;62.00;0.50;13.00;13.00;0.60;0.00;0.13;;;;1
Coconut flakes (desiccated) [Biojoy];15.00;g;2;660.00;63.00;6.40;6.40;6.20;0.08;0.06;;;;1
Trehalose [SaporePuro];5.00;g;2;355.00;0.00;89.00;89.00;0.00;0.03;1.00;;"POD = 45%; GI = 38";;1
Guar gum (E412);0.75;g;2;180.00;0.60;84.00;0.00;5.50;0.30;;;;;1
Erythritol (E968);;g;2;24.00;0.00;100.00;0.00;0.00;0.00;2.80;;POD = 75%;100.00;1
Salt;;pinch;2;;;;;;100.00;5.90;;;;
Tumeric;;pinch;2;;;;;;;;;for color;;
Xanthan gum (E415, XG);;g;2;320.00;;78.00;;6.00;1.00;;;1tsp ≈ 2.8g;;1
Flavor drops Peach / Maracuja (sucralose) [IronMaxx];;drops;6;;;;;;;;;to taste;;
Flavor drops Vanilla (sucralose) [IronMaxx];;drops;6;;;;;;;;;to taste;;
