Creamy Pomegranate (Topping);;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;g;;307.2;25.6;16.9;13.2;2.2;0.2;;;
Nutritional values per serving;25;g;;76.8;6.4;4.2;3.3;0.6;0.1;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1. Mix ingredients in a small cup or bowl, pour / drizzle over your scoops.;;;;;;;;;;;;
;;;;;;;;;;;;
Rating;😋😋😋😋;;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Cream 32% [REWE Beste Wahl];20.00;ml;0;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;
Pomegranate syrup (nar ekşisi) [fersan];5.00;ml;0;292.00;0.10;71.70;53.40;1.00;0.60;0.53;;2 squeezes from an OXO Good Grips bottle
Flavor drops Cookies&Cream [Nick’s];;drops;0;;;;;;;;;with stevia
Flavor drops Caramel [IronMaxx];;drops;0;;;;;;;;;with sucralose
Flavor drops Peach / Maracuja [IronMaxx];;drops;0;;;;;;;;;with sucralose
Flavor drops Strawberry [IronMaxx];;drops;0;;;;;;;;;with sucralose
Flavor drops Vanilla [IronMaxx];;drops;0;;;;;;;;;with sucralose
Black sesame seeds, roasted [Emma Basic];½;tsp;0;597.00;51.00;2.50;1.10;25.00;0.00;;;Optional
