Dark Chocolate Flakes (Mix-in);;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;g;;623.5;53.7;18.2;12.7;10.0;0.2;;;
Nutritional values per serving;28;g;;171.5;14.8;5.0;3.5;2.8;0.1;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
"1. Weigh ingredients into a small bowl.
 1. About a minute before the machine cycle ends, melt the chocolate in the microwave for 15s, stir it, melt for another 15s, and stir.
 1. Take out the container, scrape-down the sides, compress & flatten the surface with the back of a spoon.
 1. Drizzle the ganache on top of the ice cream and spin using Mix-in.";;;;;;;;;;;;
;;;;;;;;;;;;
Rating;😋 (untested);;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Dark chocolate 85% [Moser-Roth/Aldi];25.00;g;0;604.00;50.00;20.00;14.00;11.00;0.24;;;
Avocado oil (extra virgin) [Hunter & Gather];2.50;ml;0;819.00;91.00;;;;;;;½ tsp
