Pomegranate Syrup (Topping);;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;g;;292.0;0.1;71.7;53.4;1.0;0.6;;;
Nutritional values per serving;15;g;;43.8;0.0;10.8;8.0;0.2;0.1;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1. Drizzle from squeeze bottle directly over your scoops.;;;;;;;;;;;;
;;;;;;;;;;;;
Rating;😋😋😋😋😋;;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Pomegranate syrup (nar ekşisi) [fersan];15.00;ml;0;292.00;0.10;71.70;53.40;1.00;0.60;0.53;;6 squeezes from an OXO Good Grips bottle
