Tropical Sun (Mix-in + Topping);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;72.5;0.2;19.3;12.5;0.5;0.2;;;;;
Nutritional values total;251;g;;182.0;0.4;48.4;31.5;1.4;0.5;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);44.31;;;;;;;;;;;;;
ℹ️ Net carbs;33.4;g;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Fruit-infused Creami that combines vanilla ice cream with a swirl and topping of tropical fruit sorbet.

Flavored with mango, pineapple, peach, and passion fruit, this refreshing Creami satisfies any cravings for a fruity treat.

Use a refreezable vanilla base like my
[Vanilla Protein](https://jhermann.github.io/ice-creamery/V/Vanilla%20Protein%20%28Deluxe%29/) recipe.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Weigh dry ingredients into a small bowl and combine.
 1. Pour wet ingredients into a mixing cup, add the dry ingredients, and blend quickly with an immersion blender on full speed.
 1. In your processed vanilla Creami, use the blunt end of a chopstick to make a central and 6-8 concentric holes, down to the bottom.
 1. Fill those holes with fruit sauce, and carefully fold it in with the sharp end of the chopstick, holding it diagonally and using a circular motion.
 1. Firm up the ice cream by putting it 1–3h into the freezer.
 1. Refrigerate the rest of the fruit sauce and use as a topping.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Pineapple in juice [REWE];140.00;g;1;69.00;;16.00;15.00;0.60;0.00;0.15;;"without juice; can = 227g";;1
Mango;80.00;g;1;62.00;0.50;13.00;13.00;0.60;0.00;0.13;;;;1
Jamaica Rum 43 vol%;10.00;g;1;300.00;;;;;;3.18;;;;1
Lemon juice;5.00;ml;1;25.00;0.10;3.36;1.65;0.30;0.01;0.02;;;;1
Erythritol (E968);15.00;g;2;24.00;0.00;100.00;0.00;0.00;0.00;2.80;;POD = 75%;100.00;1
Guar gum (E412);0.50;g;2;180.00;0.60;84.00;0.00;5.50;0.30;;;;;1
Salt;0.50;g;2;;;;;;100.00;5.90;;;;1
Tumeric;1.00;pinch;2;;;;;;;;;for color;;
Flavor drops Peach / Maracuja (sucralose) [IronMaxx];≈15;drops;6;;;;;;;;;to taste;;
