Tsubuan (Mix-In);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;100.3;0.3;27.9;7.5;5.3;0.4;;;;;
Nutritional values total;261;g;;261.9;0.7;72.7;19.7;13.9;1.0;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);44.38;;;;;;;;;;;;;
ℹ️ Net carbs;42.7;g;;*∝ 5 servings@52g:* 8.5g;;;*∝ 3 servings@87g:* 14.2g;;;*energy ratio (low <20%):* 65.2%;;;;
;;;;;;;;;;;;;;
"*Tsubuan* is the chunky version of *anko* (red bean paste), made from Japanese *azuki* beans (小豆) and cooked with sugar.
The final result is basically a bean jam, or sweet chutney.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
The anko is used as a mix-in in your favorite vanilla base, see the directions further below for details.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. The same day you prepare your vanilla base, rinse and then soak the beans in water, over night in the fridge.
 1. The next morning, drain the beans and put the on the stove with fresh water.
 1. Add sweetener and salt, and bring to a boil.
 1. Let the beans simmer for ~45min, stirring occasionally, until they’re tender.
 1. Crush a part of the beans to get a thick consistency.
 1. Put the anko into a container with lid, and let it cool down in the fridge.
 1. Later, process your vanilla Creami, and use ½ to ⅔ of the anko as a mix-in.
 1. Manually fold in the rest of the beans as a swirl.
 1. Enjoy!";;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Water (cold);150.00;ml;1;;;;;;;;;;;1
Azuki Beans (小豆 organic red beans) [Rapunzel];60.00;g;0;306.16;1.20;41.50;3.10;23.10;0.00;;;;;1
Erythritol (E968);30.00;g;2;24.00;0.00;100.00;0.00;0.00;0.00;2.80;;POD = 75%;100.00;1
Trehalose [SaporePuro];20.00;g;2;355.00;0.00;89.00;89.00;0.00;0.03;1.00;;"POD = 45%; GI = 38";;1
Salt;1.00;g;2;;;;;;100.00;5.90;;;;1
