Tropical Mudslide (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;124.1;4.6;9.3;3.8;5.9;0.2;;;;;
Nutritional values per ½ Deluxe Tub;360;g;;446.8;16.7;33.5;13.7;21.1;0.5;;;;;
Nutritional values total;708;g;;878.7;32.8;65.8;27.0;41.5;1.1;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);31.61;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";18.91%;;;;;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);26.1;g;;3.7%;;;;;;;;;;
ℹ️ Net carbs;42.7;g;;*∝ 5 servings@142g:* 8.5g;;;*∝ 3 servings@236g:* 14.2g;;;;;;;
;;;;;;;;;;;;;;
"A boozy combination of layered chocolate and coconut ice cream.

The recipe is rather complicated and prepared in 3 phases, and then combined to 2 flavors forming 2 layers.
And no, given this delicate balance you can not swap out ingredients, unless you *very* well know what you’re doing.

Spin on “Sorbet”, scrape down, and mix-in. Do not overprocess, to keep discernible layers.

Rating: 😋🥥🍫 (untested)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Bloom the cocoa with the boiling water in a small bowl, melt the chocolate into the hot paste, add the amaretto.
 1. Similarly, microwave the soy milk to 90°C in another bowl, and then soak the coconut flakes for ½-1 hour in it. When cooled down, add the batida.";;;;;;;;;;;;;;
1. Pour half of the base into the ‘white’ bowl (174g), stir to combine, add flavor drops to taste, stir again, put into the fridge.;;;;;;;;;;;;;;
"1. Pour the chocolate mix into the remaining half, blend, add flavor drops to taste, freeze for 4 hours (set a timer).
 1. After the wait time, check that the surface is sufficiently frozen, gently pour the ‘white’ mix into the tub.";;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Water (boiling);100.00;ml;0;;;;;;;;;;;1
Cocoa Powder Organic 11% [Sevenhills];20.00;g;0;367.00;11.00;26.80;0.90;28.00;0.05;-1.30;;;;1
Dark chocolate 70% (mild) [Lindt];20.00;g;0;610.00;48.00;33.00;29.00;6.90;0.01;-0.14;;;;1
Almond Liqueur 21.5 vol% [Casella Amaretto];50.00;ml;0;191.00;0.00;18.10;18.00;0.00;;1.44;;1 bottle = 700ml<br /><br />;;1
Soy milk 1.6% (sugar-free) [Berief];100.00;ml;0;30.00;1.60;0.90;0.00;3.00;0.08;;;;;1
Coconut flakes (desiccated) [Biojoy];20.00;g;0;660.00;63.00;6.40;6.40;6.20;0.08;0.06;;;;1
Batida de Côco 16 vol% [Mangaroca];50.00;ml;0;238.00;0.50;29.00;16.00;2.40;;1.09;;1 bottle = 700ml;;1
Soy milk 1.6% (sugar-free) [Berief];225.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;;;;1
Cottage Cheese 4% [REWE Bio];50.00;g;1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;;;1
Jamaica Rum 43 vol%;25.00;g;1;300.00;;;;;;3.18;;;;1
Xylitol (E967);5.00;g;2;238.00;;100.00;;;;2.20;;"POD = 100%; GI = 7";100.00;1
Whey + Casein protein (grass-fed) [Vilgain];20.00;g;2;384.00;4.60;5.70;5.60;80.00;0.50;0.06;90.40;with stevia;;1
ICSv2 [Erythritol / Inulin / CMC / Guar / XG / Salt];20.00;g;2;107.2;0.0;95.5;3.7;0.1;1.7;1.32;;http://bit.ly/4frc4Vj;90.80;1
Vanilla Bean Powder [InterVanilla];3.00;g;2;288.00;0.10;13.00;13.00;0.00;0.00;;;;;1
Flavor drops Vanilla (sucralose) [IronMaxx];≈7;drops;3;;;;;;;;;to taste, add ≈7 drops to each half separately;;
