Tropical Rum Punch (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;97.0;1.7;15.8;9.8;0.6;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;329.9;5.7;53.8;33.3;2.2;0.6;;;;;
Nutritional values total;667;g;;647.3;11.2;105.5;65.3;4.3;1.2;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);32.94;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";2.68%;;;;LOW-FAT;;;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);9.3;g;;1.4%;;;;;;;;;;
ℹ️ Net carbs;87.7;g;;*∝ 5 servings@133g:* 17.5g;;;*∝ 3 servings@222g:* 29.2g;;;*energy ratio (low <20%):* 54.2%;;;;
;;;;;;;;;;;;;;
"*Tropical Rum Punch* blends pineapple, orange, and
mango juices with a hint of lime for a bright, fruity base.

Coconut milk adds smoothness and depth, while a touch
of Jamaica Rum brings gentle warmth.
Pomegranate syrup rounds out the flavor
with a subtle tart sweetness.

The result is a refreshing sorbet that tastes like sunshine.<br clear=all />";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Spin on “Sorbet”, scrape down, and respin.

Rating: 😋🍍🍹🥥 (very dense consistency, unique taste)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. In a saucepan, heat the ‘prep’ ingredients to about 90°C.
 1. Mix the dry ingredients together and whisk them into the hot liquid.
 1. Let it cool down a bit and blend into the rest of the ‘wet’ ingredients.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Juice: 60% Orange/20% Mango/20% Pineapple [REWE];200.00;ml;0;48.00;0.00;10.10;10.10;0.60;0.00;0.10;;;;1
Water;100.00;ml;0;;;;;;;;;;;1
Lime or lemon juice;30.00;ml;0;25.00;0.10;8.40;1.70;0.40;;;;;;1
Pomegranate syrup (grenadine, nar ekşisi) [fersan];15.00;g;0;292.00;0.10;71.70;53.40;1.00;0.60;0.53;;0.76 ml/g;;1
Pineapple in juice [REWE];225.00;g;1;69.00;;16.00;15.00;0.60;0.00;0.15;;Can = 227g (140g fruit);;1
Jamaica Rum 43 vol%;45.00;g;1;300.00;;;;;;3.18;;;;1
Mango (fresh or frozen);;g;1;62.00;0.50;13.00;13.00;0.60;0.00;0.13;;;;1
Banana Powder (green plantain) [Govinda];10.00;g;2;365.00;1.50;78.00;10.00;2.00;0.01;;;*alternatives:* (instant) starch, or tapioca;;1
Coconut Milk Powder 54% [Green Essence];20.00;g;2;640.00;55.00;40.25;1.25;6.25;0.13;;46.50;;;1
Inulin [Vit4ever];20.00;g;2;210.00;;97.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0";89.00;1
Salt;1.00;g;2;;;;;;100.00;5.90;;;;1
Xanthan gum (E415, XG);1.00;g;2;320.00;;78.00;;6.00;1.00;;;1tsp ≈ 2.8g;;1
Citric Acid;;g;2;391.00;0.15;97.00;0.00;0.50;0.50;;;0.5–1g ≈ 15ml lemon juice;;1
Waxy Maize Starch (E1442) [Ultratex];;g;2;391.00;0.15;97.00;0.00;0.50;0.50;;;"dissolves easily; use 1-5%";;1
;;;;;;;;;;;;;;
Flavor drops Peach / Maracuja (sucralose) [IronMaxx];≈9;drops;3;;;;;;;;;to taste;;
