Ube Coconut (Deluxe);;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;g;;129.3;7.1;13.3;3.1;3.5;0.2;;;
Nutritional values per ½ Deluxe Tub;360;g;;465.3;25.6;47.9;11.1;12.6;0.8;;;
Nutritional values total;720;g;;930.6;51.2;95.8;22.3;25.3;1.6;;;
;;;;;;;;;;;;
FPDF / PAC (target 20..30);31.25;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";10.85%;;;;;;Low-Sugar;;;;;
Milk Solids Non-Fat (MSNF, 7-11%);34.3;g;;4.8%;;;;;;;;
;;;;;;;;;;;;
This works with any fruit powder that harmonizes with coconut milk.;;;;;;;;;;;;
;;;;;;;;;;;;
Oct 21: Grainy texture, residue on the tub wall! Ricotta?!;;;;;;;;;;;;
;;;;;;;;;;;;
30g Ice Cream Stabilizer (ICSv2) is;"14.3g erythritol, 1.43g Tylose powder (CMC, E466), 
0.5g tara gum (E417), 0.15g xanthan (E415),
14.3g inulin, 0.5g salt.";;;;;;;;;;;
;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Coconut milk 22% [REWE Bio];200.00;ml;1;222.00;22.00;4.00;4.00;2.00;0.04;0.04;;
Skim Milk 1.5% [Weihenstephan];200.00;ml;1;47.00;1.50;4.90;4.90;3.50;0.11;0.05;9.16;
Water;100.00;ml;1;;;;;;;;;
Cottage Cheese 4% [REWE Bio];100.00;g;1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;0.00;99.00;0.00;0.00;0.00;3.70;;"Sweetness = 60%; GI = 5"
Brandy 40 vol%;15.00;g;1;280.00;;;;;;2.96;;
Flavor drops Vanilla [IronMaxx];7.00;drops;1;;;;;;;;;
ICSv2 [Erythritol / CMC / Tara / XG / Inulin];30.00;g;2;107.3;0.0;54.7;3.7;0.1;1.7;1.32;;http://bit.ly/4frc4Vj
Xylitol;25.00;g;2;238.00;0.00;100.00;0.00;0.00;0.00;2.20;;"Sweetness = 100%; GI = 7"
Ube Yam Root powder [Fil Choice];25.00;g;2;382.00;0.60;83.00;9.50;6.10;0.30;0.10;;like vanilla+pistachio
Glycerol Monostearate (E471) [Bulk];3.00;g;2;415.00;0.00;0.00;0.00;0.00;0.00;;;
Skim Milkpowder 1:10 [Vita2You];;g;2;358.00;0.97;50.50;50.50;35.00;1.00;0.51;94.03;
;;;;;;;;;;;;
Water to MAX line;7.00;ml;3;;;;;;;;;
