Ube Coconut • Vegan (Deluxe);;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;g;;112.5;5.0;12.0;1.2;5.4;0.2;;;
Nutritional values per ½ Deluxe Tub;360;g;;405.0;18.0;43.1;4.4;19.3;0.8;;;
Nutritional values total;720;g;;809.9;36.1;86.2;8.8;38.7;1.6;;;
;;;;;;;;;;;;
FPDF / PAC (target 20..30);29.38;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";19.10%;;;;;;Low-Sugar;;;;;
Milk Solids Non-Fat (MSNF, 7-11%);23.3;g;;3.2%;;;;;;;;
;;;;;;;;;;;;
"This works with any fruit powder that harmonizes with coconut milk.

> ‼️ This is vegan and dairy-free, using only coconut and soy.

Spin on Light Ice Cream, followed by a scrape-down, and either a Respin or Mix-In run.";;;;;;;;;;;;
;;;;;;;;;;;;
Rating: 😋🥥 (untested);;;;;;;;;;;;
;;;;;;;;;;;;
30g Ice Cream Stabilizer (ICSv2) is;"14.3g erythritol, 1.43g Tylose powder (CMC, E466), 
0.5g tara gum (E417), 0.15g xanthan (E415),
14.3g inulin, 0.5g salt.";;;;;;;;;;;
;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Soy milk 1.6% (sugar-free) [Berief];400.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;;
Coconut milk 22% [REWE Bio];133.00;ml;1;222.00;22.00;4.00;4.00;2.00;0.04;0.04;;
Brandy 40 vol%;15.00;g;1;280.00;;;;;;2.96;;
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;0.00;99.00;0.00;0.00;0.00;3.70;;"Sweetness = 60%; GI = 5"
Flavor drops Vanilla [IronMaxx];7.00;drops;1;;;;;;;;;with sucralose
Cottage Cheese 4% [REWE Bio];;g;1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;
Skim Milk 1.5% [Weihenstephan];;ml;1;47.00;1.50;4.90;4.90;3.50;0.11;0.05;9.16;
Water;;ml;1;;;;;;;;;
ICSv2 [Erythritol / CMC / Tara / XG / Inulin];30.00;g;2;107.3;0.0;54.7;3.7;0.1;1.7;1.32;;http://bit.ly/4frc4Vj
Skim milk powder 1:10 (SMP) [Vita2You];;g;2;358.00;0.97;50.50;50.50;35.00;1.00;0.51;94.03;
Soy protein isolate (nature) [Powerstar];25.00;g;2;372.00;1.00;1.00;0.00;89.80;2.50;;93.00;1kg, unsweetened, unflavored
Ube Yam Root powder [Fil Choice];25.00;g;2;382.00;0.60;83.00;9.50;6.10;0.30;0.10;;like vanilla+pistachio
Xylitol;25.00;g;2;238.00;0.00;100.00;0.00;0.00;0.00;2.20;;"Sweetness = 100%; GI = 7"
Glycerol Monostearate (E471) [Bulk];3.00;g;2;415.00;0.00;0.00;0.00;0.00;0.00;;;
;;;;;;;;;;;;
Water to MAX line;49.00;ml;3;;;;;;;;;
;;;;;;;;;;;;
Oct 21, 2024;Grainy texture, residue on the tub wall! Ricotta?!;;;;;;;;;;;
Jun 8, 2025;Using soy milk, less coconut milk, and soy protein instead of SMP;;;;;;;;;;;
