Umamiso (Deluxe);;;;;;;;;;;;;
;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;
Nutritional values per 100g/ml;100;g;;108.7;5.4;10.9;4.0;4.6;0.8;;;;
Nutritional values per ½ Deluxe Tub;360;g;;391.3;19.6;39.2;14.3;16.5;2.8;;;;
Nutritional values total;720;g;;782.7;39.2;78.4;28.6;33.1;5.5;;;;
;;;;;;;;;;;;;
FPDF / PAC (target 20..30);29.42;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";16.90%;;;;;;Low-Sugar;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);28.7;g;;4.0%;;;;;;;;;
ℹ️ Net carbs;48.4;g;;*∝ 5 servings@144g:* 9.7g;;;*∝ 3 servings@240g:* 16.1g;;;;;;
;;;;;;;;;;;;;
"An ‘exotic’ ice cream made from miso, hon mirin, coconut milk, and soy protein.

> 🌿 **Vegan & Dairy-free**<br />Recipe is using only soy, rice, and coconut.

Process on *Sorbet*, [hold it shortly under running water](https://jhermann.github.io/ice-creamery/info/tips%2Btricks/#handling-of-icy-sides-bottom)
*after* that.
Then a scrape-down and a respin or re-mix.

Rating: 😋 (experimental)";;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
"1. In an empty Creami tub, blend the tofu with the other ‘prep’ ingredients to a smooth paste. Add a splash of soy milk, if needed, to combine things.
 1. Add ""wet"" ingredients to the puree.";;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%]
Tofu (plain) [REWE Bio];65.00;g;0;129.00;7.50;1.80;0.50;13.00;0.20;;15.54;Package of 2x200g;
Hon mirin 14 vol% [Fiico];50.00;g;0;275.00;;49.00;40.00;0.50;0.50;0.82;;;
Miso “Genmai” (organic, vegan) [Fairment];40.00;g;0;196.00;7.20;17.80;10.50;10.80;11.50;0.11;;200g jar;
Glycerin (E422, VG) [hd-line];20.00;g;0;400.00;;99.00;;;;3.70;;"POD = 60%; GI = 5; Density = 1.26 g/ml";50.00
Sesame oil (roasted) [Diamond];10.00;ml;0;828.00;92.00;0.50;0.50;0.50;0.01;;;;
Water (cold);300.00;ml;1;;;;;;;;;;
Coconut milk 22% [REWE Bio];100.00;ml;1;222.00;22.00;4.00;4.00;2.00;0.04;0.04;;;
Soy protein isolate (nature) [Powerstar];20.00;g;2;372.00;1.00;1.00;0.00;89.80;2.50;;93.00;1kg bag, unsweetened, unflavored;
Erythritol (E968);20.00;g;2;24.00;0.00;100.00;0.00;0.00;0.00;2.80;;POD = 75%;100.00
Glycerol Monostearate (E471) [Bulk];2.00;g;2;415.00;;;;;;;;;
Tylose powder (E466 / CMC) [GoodBake];1.50;g;2;600.00;;75.00;;;;;;;
Xanthan gum (E415, XG);0.50;g;2;320.00;;78.00;;6.00;1.00;;;1tsp ≈ 2.8g;
;;;;;;;;;;;;;
Water to MAX line;91.00;ml;3;;;;;;;;;;
