"Vanil-Low (Deluxe)";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;"Amount";"Unit";;"kcal";"Fat";"Carbs";"Sugar";"Protein";"Salt";;;;;;
"Nutritional values per 100g/ml";100;"g";;68.5;1.9;11.7;0.5;5.1;0.2;;;;;;
"Nutritional values per ½ Deluxe Tub";340;"g";;233.0;6.4;39.9;1.5;17.5;0.8;;;;;;
"Nutritional values total";680;"g";;466.0;12.8;79.7;3.1;34.9;1.7;;;;;;
;;;;;;;;;;;;;;;
"FPDF / PAC (target 20..30)";31.24;;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";29.99%;;;"";"LOW-FAT";;"Low-Sugar";"Hi-Protein";"";;;;;;
"ℹ️ Milk Solids Non-Fat (MSNF, 7-11%)";44.1;"g";;6.5%;;;;;;;;;;;
"ℹ️ Net carbs";16.1;"g";;"*∝ 5 servings@136g:* 3.2g";;;"*∝ 3 servings@227g:* 5.4g";;;"*energy ratio (low <20%):* 13.8%";;;;;
"Vanilla ice cream based on soy milk and cottage cheese or greek yogurt, with a very low net carbs to total energy ratio.

Process on *Frozen Yogurt*, [hold it shortly under running water](https://jhermann.github.io/ice-creamery/info/tips%2Btricks/#handling-of-icy-sides-bottom) *after* that.

Then scrape down the sides, process again on Ice Cream.

Served with crumbled walnuts and a pomegranate syrup drizzle.

Rating: 😋😋😋😋😋

> *2025-08-11: With frozen mint chocolate wafers as a mix-in.*";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"Use fruit / yam root powder instead of the vanilla for a different taste and color.
Combine strawberry powder with strawberry flavor drops instead of the vanilla ones.
See *Optional / Choices* below for details.";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"If you have access to it (North America), you can use 45g Allulose as sweetener, instead of the sugar alcohols.";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"!!! tip inline end “‘Berry’ Variation”

Add these flavor & color components:

    - 2 tsp Raspberry Emulsion [LorAnn]
    - 1½ tsp blueberry or blackberry powder
    - 1½ tsp beet root powder";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"Ingredients";"Amount";"Unit";"#";"kcal";"Fat";"Carbs";"Sugar";"Protein";"Salt";"FPDF";"MSNF";"Comment";"0Carb[%]";"Counts?";"ID"
"Soy milk 1.6% (sugar-free) [Berief]";400.00;"ml";1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1;"2755284"
"Cottage Cheese 4% [REWE Bio]";100.00;"g";1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;"*alternative:* 30g cream cheese and 70ml milk";;1;"c6c5c25"
"Cream Cheese 23% [Exquisa]";;"g";1;238.00;22.50;3.00;3.00;5.50;0.70;0.03;9.64;;;0;"d6271a9"
"Greek Yogurt 9% [Lyttos]";150.00;"g";1;113.00;9.20;3.80;3.80;3.20;0.13;0.04;7.91;;;0;"86ce225"
"Almond butter (creamy) [Seba Garden]";;"g";1;598.00;52.54;10.11;4.86;21.15;0.01;0.05;;;;1;"2d02333"
"Glycerin (E422, VG) [hd-line]";15.00;"g";1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1;"8717e6d"
"Brandy or Vodka 40 vol%";10.00;"g";1;280.00;;;;;;2.96;;"*alternative:* 8g (additional) VG for a sober recipe";;1;"63b8bf1"
"SweEX (Erythritol + Xylitol 3:2)";45.00;"g";2;109.60;;100.00;;;;2.56;;"*alternative:* 60g allulose or dextrose";100.00;1;"f44b101"
"Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt]";15.00;"g";2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;"*not-as-good substitute:* 1.5g guar, 0.5g xanthan, and 0.5g salt";73.80;1;"3d1ecef"
"Vanilla Bean Powder [InterVanilla]";5.00;"g";2;288.00;0.10;13.00;13.00;0.00;0.00;;;;;1;"538e9f6"
"Whey protein Vanilla [MaxiNutrition]";10.00;"g";2;392.00;5.80;6.20;5.30;78.00;0.57;0.05;89.20;;;1;"165651e"
;;;;;;;;;;;;;;;" "
"Soy milk 1.6% (sugar-free) [Berief]";80.00;"ml";3;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1;"2755284"
"Flavor drops Vanilla (sucralose) [IronMaxx]";"≈8";"drops";3;;;;;;;;;"to taste";;"";"7c57f43"
;;;;;;;;;;;;;;"";" "
"Mint chocolate thins [After Eight]";30.00;"g";4;426.00;12.90;73.50;67.80;2.10;0.03;;;"1pc ≈ 7.5g; freeze for more integrity, and chop them when frozen [128kcal, 20g sugar]";;;" "
;;;;;;;;;;;;;;;" "
"Ube Yam Root powder [Fil Choice]";25.00;"g";6;382.00;0.60;83.00;9.50;6.10;0.30;0.10;;"like vanilla+pistachio [96kcal, 2g sugar]";;"";"e732a6e"
"Lingonberry powder [Bio Leis]";25.00;"g";6;351.00;2.30;78.80;72.50;3.70;0.01;0.73;;"replacing the ground vanilla [88kcal, 18g sugar]";;"";"2011e73"
"Strawberry powder [Supergarden]";25.00;"g";6;287.00;3.70;50.90;50.60;7.60;0.00;0.51;;"replacing the ground vanilla [72kcal, 13g sugar]";;"";"e1bc6d8"
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
Jun 4, 2025;"Added almond butter.";;;;;;;;;;;;;"";
Jul 14, 2025;"Using soy milk and unsweetened “ICSv2”";;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
