Vegan Almond (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;100.5;4.3;14.8;2.6;3.6;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;341.7;14.7;50.4;8.9;12.1;0.7;;;;;
Nutritional values total;680;g;;683.4;29.5;100.9;17.8;24.2;1.5;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);31.00;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";14.14%;;;;;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);20.4;g;;3.0%;;;;;;;;;;
ℹ️ Net carbs;38.1;g;;*∝ 5 servings@136g:* 7.6g;;;*∝ 3 servings@227g:* 12.7g;;;*energy ratio (low <20%):* 22.3%;;;;
;;;;;;;;;;;;;;
Vegan base with almond butter and amaretto in soy milk thickened with green banana starch.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Process on *Light Ice Cream*, with scrape-down, and a mix-in or respin run if needed.<br clear=all />

Rating: 😋 (untested)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Heat the soy milk and almond butter to about 90°C, in a saucepan.
 1. Mix the dry ingredients together and whisk them into the hot milk.
 1. Let the milk cool down a bit and blend in the rest of the ‘wet’ ingredients.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Soy milk 1.6% (sugar-free) [Berief];350.00;ml;0;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;*alternative:* any other preferred milk (~2% fat);;1
Almond butter (creamy) [Seba Garden];40.00;g;0;598.00;52.54;10.11;4.86;21.15;0.01;0.05;;;;1
Soy milk 1.6% (sugar-free) [Berief];160.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;*alternative:* any other preferred milk (~2% fat);;1
Amaretto 28 vol%;40.00;ml;1;282.00;;30.00;30.00;;;1.93;;;;1
