Vegan Gingerbread (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;79.1;1.4;17.9;4.3;2.5;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;268.9;4.6;61.0;14.7;8.4;0.8;;;;;
Nutritional values total;678;g;;536.3;9.2;121.7;29.4;16.8;1.6;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.36;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";12.53%;;;;LOW-FAT;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);21.0;g;;3.1%;;;;;;;;;;
ℹ️ Net carbs;57.5;g;;*∝ 5 servings@136g:* 11.5g;;;*∝ 3 servings@226g:* 19.2g;;;*energy ratio (low <20%):* 42.9%;;;;
;;;;;;;;;;;;;;
"Celebrate the season with this Vegan Gingerbread Ice Cream — a creamy blend of soy milk,
winter spices, molasses, and Amaretto. Inspired by classic holiday cookies, it captures the warmth of
cinnamon, ginger, and cloves in a smooth, dairy-free scoop.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"!!! tip “Alcohol-free Variant”

    Use 8g *additional* VG instead of the Amaretto for a sober version suited for children.

Process on *Light Ice Cream*, with scrape-down, and a mix-in or respin run if needed.<br clear=all />

Rating: 😋🫚🍪🎅 (untested)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Soy milk 1.6% (sugar-free) [Berief];525.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;*alternative:* any other preferred milk (~2% fat);;1
Molasses [Grafschafter Goldsaft];30.00;g;1;306.00;0.50;70.00;66.00;2.30;0.03;0.66;;Sweetness = 66%;;1
Almond Liqueur 21.5 vol% [Casella Amaretto];25.00;ml;1;191.00;0.00;18.10;18.00;0.00;;1.44;;;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Inulin [Vit4ever];30.00;g;2;210.00;;97.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0";89.00;1
SweEX (Erythritol + Xylitol 3:2);30.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 40g allulose or dextrose;100.00;1
Waxy Maize Starch (E1442) [Ultratex];15.00;g;2;391.00;0.15;97.00;0.00;0.50;0.50;;;*alternative:* [E1422](https://jhermann.github.io/ice-creamery/info/ingredients/#acetylated-distarch-adipate-e1422) / *any* modified starch;;1
Pumpkin spice [Just Spices];5.00;g;2;379.00;12.40;53.40;48.00;5.80;0.13;;;;;1
Vanilla Bean Powder [InterVanilla];2.00;g;2;288.00;0.10;13.00;13.00;0.00;0.00;;;;;1
Salt;1.00;g;2;;;;;;100.00;5.90;;;;1
;;;;;;;;;;;;;;
Flavor drops Cookies&Cream (stevia) [Nick’s];≈3;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
Biscoff “Lotus” cookies [Aldi];40.00;g;5;484.00;19.00;72.60;38.10;4.90;0.92;0.38;;"1pc = 7.8g; topping or mix-in [194kcal, 15.2g sugar]";;
