Velvet Oasis (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;107.3;4.9;14.9;6.4;2.8;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;364.7;16.6;50.8;21.7;9.7;0.8;;;;;
Nutritional values total;680;g;;729.4;33.2;101.5;43.3;19.3;1.6;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.50;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";10.60%;;;;;;;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);14.4;g;;2.1%;;;;;;;;;;
ℹ️ Net carbs;57.1;g;;*∝ 5 servings@136g:* 11.4g;;;*∝ 3 servings@227g:* 19g;;;*energy ratio (low <20%):* 31.3%;;;;
;;;;;;;;;;;;;;
"Ice cream made with velvety nuts, sweetened with dates, and kissed by vanilla. 

> 🌿 **Vegan & Dairy-free**<br />Recipe is using only soy milk, dates, and nuts.

Process on Sorbet, followed by a scrape-down and re-mix or respin.
Freeze again for about an hour to get to scoopable, if too soft for you.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Rating: 😋🌴 (untested);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Cut the dates into halves by their long side, and make sure they’re pitted and not spoiled. Coarsely chop them into pieces.
 1. Soak the coconut flakes, cashews, and dates in the boiling water for at least 2 hours.
 1. Then blend everything to a smooth paste.
 1. Fill up with the ‘wet’ ingredients.";;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Water (boiling);150.00;ml;0;;;;;;;;;;;1
Tofu (plain) [REWE Bio];;g;0;129.00;7.50;1.80;0.50;13.00;0.20;;15.54;Package of 2x200g;;0
Medjool dates (organic) [Seba Garden];60.00;g;0;277.00;0.20;75.00;66.00;1.80;0.01;0.66;;3 dates • distinctive caramel taste with hints of vanilla;;1
Cashew nuts (organic) [Biojoy];30.00;g;0;603.00;48.30;16.10;5.70;20.70;0.00;0.06;;;20.00;1
Coconut flakes (desiccated) [Biojoy];20.00;g;0;660.00;63.00;6.40;6.40;6.20;0.08;0.06;;;;1
Soy milk 1.6% (sugar-free) [Berief];300.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"POD = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Brandy or Vodka 40 vol%;10.00;g;1;280.00;;;;;;2.96;;*alternative:* 8g (additional) VG for a sober recipe;;1
Coconut milk 22% [REWE Bio];;ml;1;222.00;22.00;4.00;4.00;2.00;0.04;0.04;;;;0
Molasses [Grafschafter Goldsaft];;g;1;306.00;0.50;70.00;66.00;2.30;0.03;0.66;;Sweetness = 66%;;1
SweEX (Erythritol + Xylitol 3:2);25.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 33g allulose or dextrose;100.00;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];8.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;*not-as-good substitute:* 0.8g guar, 0.3g xanthan, and 0.3g salt;73.80;1
Vanilla Bean Powder [InterVanilla];2.00;g;2;288.00;0.10;13.00;13.00;0.00;0.00;;;;;1
Salt;1.00;g;2;;;;;;100.00;5.90;;;;1
;;;;;;;;;;;;;;
Soy milk 1.6% (sugar-free) [Berief];59.00;ml;3;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;make blending easier by splitting the milk;;1
Flavor drops Vanilla (sucralose) [IronMaxx];≈4;drops;3;;;;;;;;;to taste;;
