Winter Apple (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;69.4;1.4;14.6;4.7;3.0;0.2;;;;;
Nutritional values per ½ Deluxe Tub;360;g;;249.7;4.9;52.4;16.9;10.8;0.7;;;;;
Nutritional values total;680;g;;471.7;9.3;99.0;31.9;20.4;1.4;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.47;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";17.30%;;;;LOW-FAT;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);24.2;g;;3.6%;;;;;;;;;;
ℹ️ Net carbs;48.4;g;;*∝ 5 servings@136g:* 9.7g;;;*∝ 3 servings@227g:* 16.1g;;;*energy ratio (low <20%):* 41%;;;;
;;;;;;;;;;;;;;
Applesauce sherbet with cinnamon, and stollen pieces as a mix-in.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Spun on Sorbet with a re-spin, and coarsely cubed stollen as a mix-in. The mix-in puts this squarely into delish territory.

Rating: 😋😋🍎🍏🎅";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Apple Sauce (no added sugar) [Gut Bio/Aldi];300.00;ml;1;52.00;0.50;12.00;10.00;0.50;0.01;0.10;;1 jar = 355g;;1
Soy milk 1.6% (sugar-free) [Berief];150.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Cottage Cheese 4% [REWE Bio];100.00;g;1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Brandy or Vodka 40 vol%;10.00;g;1;280.00;;;;;;2.96;;;;1
SweEX (Erythritol + Xylitol 3:2);32.00;g;2;109.60;;100.00;;;;2.56;;"POD ≈ 90%; GI < 7";100.00;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];15.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;unsweetened “ICSv2”;73.80;1
Cinnamon (Ceylon);3.00;g;2;;;;;;;;;1tsp = 3g;;1
;;;;;;;;;;;;;;
Soy milk 1.6% (sugar-free) [Berief];55.00;ml;3;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Flavor drops Vanilla (sucralose) [IronMaxx];≈3;drops;3;;;;;;;;;to taste;;
Flavor drops Caramel (sucralose) [IronMaxx];≈3;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
Almond slivers [naturix24];20.00;g;4;589.00;54.00;5.00;4.00;22.00;;;;add as a topping or mix-in [118kcal, 0.8g sugar];;0
Raisins (chopped);10.00;g;4;298.00;0.60;68.00;68.00;2.50;0.05;0.10;;add as a topping or mix-in [30kcal, 6.8g sugar];;
Stollen, coarsely cubed [REWE];50.00;g;4;388.00;15.00;58.00;33.00;4.40;0.38;;;add as a mix-in [194kcal, 16.5g sugar];;0
;;;;;;;;;;;;;;
