Woodruff (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;76.6;1.3;10.4;2.8;6.8;0.2;;;;;
Nutritional values per ½ Deluxe Tub;360;g;;275.7;4.9;37.4;10.0;24.6;0.8;;;;;
Nutritional values total;720;g;;551.3;9.7;74.8;20.0;49.3;1.5;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);27.03;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";35.77%;;;;LOW-FAT;;Low-Sugar;Hi-Protein;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);56.7;g;;7.9%;;;;;;;;;;
ℹ️ Net carbs;38.7;g;;*∝ 5 servings@144g:* 7.7g;;;*∝ 3 servings@240g:* 12.9g;;;*energy ratio (low <20%):* 28.1%;;;;
;;;;;;;;;;;;;;
"Woodruff flavor (or “Waldmeister”) is a rather German thing, used in the green version of *Berliner Kindl*,
in May punch (*Maibowle*), or as a flavor of *Ahoi Brause*.

This works using instant drink powder sticks for flavoring.
With this recipe, you can use any brand and flavor of instant drink powder you like though (e.g. IQMIX in the US),
as long as it is normally mixed into about 500ml of water.

The one I use is based on maltodextrin, and already contains a good amounts of sweetness,
so make sure to dial in any additional sweeteners to your palate.
While doing so, keep the freezing point depression in mind (more trehalose and less erythritol lowers both PAC and POD).";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Spin on “Sorbet”, scrape down, and re-mix.

Rating: 😋 (untested)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Soy milk 1.6% (sugar-free) [Berief];500.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Glycerin (E422, VG) [hd-line];20.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Brandy or Vodka 40 vol%;15.00;g;1;280.00;;;;;;2.96;;;;1
Soy protein isolate (nature) [Powerstar];20.00;g;2;372.00;1.00;1.00;0.00;89.80;2.50;;93.00;1kg bag, unsweetened, unflavored;;1
Whey + Casein protein (grass-fed) [Vilgain];20.00;g;2;384.00;4.60;5.70;5.60;80.00;0.50;0.06;90.40;with stevia;;1
Trehalose [SaporePuro];20.00;g;2;355.00;0.00;89.00;89.00;0.00;0.03;1.00;;"POD = 45%; GI = 38";;1
Erythritol (E968);15.00;g;2;24.00;0.00;100.00;0.00;0.00;0.00;2.80;;POD = 75%;100.00;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];15.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;unsweetened “ICSv2”;73.80;1
Instant Drink “Woodruff” (0 sugar) [Instick];2.50;g;2;383.00;0.00;96.00;7.70;0.00;0.02;1.29;;1 stick (2.5g) for 500ml water;;1
Matcha green tea powder (organic) [Mandoi];1.00;g;2;383.00;3.90;65.40;;29.30;0.01;;;"for color; ½ tsp = 1g";;1
;;;;;;;;;;;;;;
Water (cold);91.50;ml;3;;;;;;;;;;;1
Flavor drops Vanilla (sucralose) [IronMaxx];≈1;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
